pim,team,assists,plus_minus,points,league,games_played,year,age,goals
2,Binghamton Whalers,0,0,0,AHL,1,1987-88,19,0
13,Baltimore Skipjacks,0,0,1,AHL,7,1989-90,21,1
2,Baltimore Skipjacks,1,0,2,AHL,3,1990-91,22,1
0,Baltimore Skipjacks,1,0,4,AHL,7,1992-93,24,3
28,Cincinnati Cyclones,2,0,4,IHL,11,1993-94,25,2
22,Cincinnati Cyclones,0,0,2,IHL,10,1994-95,26,2
36,Cincinnati Cyclones,4,0,6,IHL,17,1995-96,27,2
2,Cincinnati Cyclones,1,0,1,IHL,1,1996-97,28,0
36,Cincinnati Cyclones,2,0,2,IHL,9,1997-98,29,0
12,Austin Ice Bats,3,0,5,WPHL,10,1999-00,31,2
