assists,year,games_played,points,goals,team,age,pim,plus_minus,league
12,1987-88,37,14,2,Lac St-Jean Cascades,15,0,0,QAAA
29,1988-89,63,31,2,Hull Olympiques,16,59,0,QMJHL
45,1989-90,69,55,10,Hull Olympiques,17,119,0,QMJHL
9,1990-91,37,11,2,Canada,18,16,0,Nat-Tm
3,1990-91,7,3,0,Canada,18,2,0,WJC-A
4,1990-91,3,5,1,Longueuil College Francais,18,6,0,QMJHL
2,1991-92,19,3,1,Canada,19,16,0,Nat-Tm
0,1991-92,7,0,0,Canada,19,8,0,WJC-A
19,1991-92,29,24,5,Verdun College Francais,19,59,0,QMJHL
18,1992-93,59,23,5,Indianapolis Ice,20,76,0,IHL
25,1993-94,73,32,7,Indianapolis Ice,21,132,0,IHL
21,1994-95,52,23,2,Indianapolis Ice,22,63,0,IHL
0,1994-95,1,0,0,Hershey Bears,22,0,0,AHL
17,2003-04,54,22,5,Hamilton Bulldogs,31,61,4,AHL
1,2004-05,5,2,1,Amsterdam Bulldogs,32,36,0,Nether.
11,2005-06,52,15,4,Adler Mannheim,33,44,0,Germany
