league,games_played,game_winning_goals,age,shots,points,power_play_assists,total_ice_time,team,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,shorthanded_goals,year,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
WHA,77,1,18,115,22,0,,NEW,[],2.6,3,19,-17,3,0,1975-76,,0,102,0,0
WHA,77,0,19,199,46,0,,NEW,[],6.5,11,33,16,13,0,1976-77,,2,169,0,0
WHA,78,0,20,135,61,0,,NEW,[],11.1,10,46,17,15,0,1977-78,,5,118,0,0
WHA,79,0,21,153,57,0,,NEW,[],7.2,9,46,-2,11,0,1978-79,,2,113,0,0
NHL,80,1,22,107,36,2,,HAR,[],7.5,7,28,6,8,0,1979-80,,1,89,0,26
NHL,77,0,23,119,50,10,,TOT,[],6.7,4,42,-13,8,0,1980-81,,4,175,2,30
NHL,27,0,23,36,13,1,,HAR,[],5.6,1,11,-15,2,0,1980-81,,1,81,2,8
NHL,50,0,23,83,37,9,,MNS,[],7.2,3,31,2,6,0,1980-81,,3,94,0,22
NHL,79,0,24,104,34,11,,MNS,[],3.8,4,30,-1,4,0,1981-82,,0,119,0,19
NHL,0,1,25,127,44,11,,MNS,"[{'link': '/awards/voting-1983.html#AS', 'name': 'AS-12'}, {'link': '/awards/voting-1983.html#norris', 'name': 'Norris-8'}]",2.4,1,41,18,3,0,1982-83,,2,103,4,26
NHL,77,0,26,131,53,17,,MNS,[],6.1,6,45,14,8,1,1983-84,,1,132,1,27
NHL,78,0,27,142,42,14,,MNS,[],4.2,5,36,-12,6,0,1984-85,,1,112,0,22
NHL,76,0,28,66,23,0,,MNS,[],3.0,2,21,14,2,0,1985-86,,0,101,0,21
NHL,67,1,29,43,13,0,,MNS,[],7.0,3,10,-7,3,0,1986-87,,0,68,1,9
NHL,70,0,30,52,18,1,,TOT,[],5.8,3,15,-10,3,0,1987-88,,0,143,0,14
NHL,48,0,30,33,11,1,,MNS,[],3.0,1,10,-17,1,0,1987-88,,0,103,0,9
NHL,11,0,30,9,3,0,,PHI,[],11.1,1,2,7,1,0,1987-88,,0,15,0,2
NHL,11,0,30,10,4,0,,STL,[],10.0,1,3,0,1,0,1987-88,,0,25,0,3
NHL,77,0,31,52,26,2,,STL,[],3.8,2,24,7,2,0,1988-89,,0,90,1,21
NHL,75,0,32,56,17,2,,STL,[],5.4,3,14,-12,3,0,1989-90,,0,140,0,12
NHL,64,0,33,24,16,0,,TOT,[],12.5,3,13,17,3,0,1990-91,,0,78,0,13
NHL,3,0,33,2,1,0,,STL,[],0.0,0,1,-1,0,0,1990-91,,0,8,0,1
NHL,61,0,33,22,15,0,,PIT,[],13.6,3,12,18,3,0,1990-91,,0,70,0,12
NHL,73,1,34,29,24,0,,PIT,[],6.9,1,22,19,2,0,1991-92,,1,87,2,20
NHL,65,1,35,40,17,3,,BOS,[],12.5,5,12,23,5,0,1992-93,,0,105,0,9
NHL,59,0,36,19,7,0,,BOS,[],5.3,1,6,-13,1,0,1993-94,,0,40,0,6
