league,games_played,game_winning_goals,age,shots,points,power_play_assists,total_ice_time,team,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,shorthanded_goals,year,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
NHL,26,0,20,30,4,0,,BOS,[],0.0,0,4,-7,0,0,1980-81,,0,39,0,4
NHL,48,0,21,40,8,0,,BOS,[],0.0,0,8,3,0,0,1981-82,,0,84,0,8
NHL,1,0,22,2,0,0,,BOS,[],0.0,0,0,-2,0,0,1982-83,,0,0,0,0
NHL,28,0,24,8,11,2,,EDM,[],0.0,0,11,12,0,0,1984-85,,0,25,0,9
NHL,52,0,25,37,14,1,,TOT,[],8.1,3,11,10,3,0,1985-86,,0,76,0,10
NHL,6,0,25,4,5,0,,EDM,[],50.0,2,3,8,2,0,1985-86,,0,11,0,3
NHL,46,0,25,33,9,1,,NYR,[],3.0,1,8,2,1,0,1985-86,,0,65,0,7
NHL,73,1,26,53,15,1,,NYR,[],5.7,3,12,-13,3,0,1986-87,,0,182,0,11
NHL,63,0,27,40,6,0,,TOT,[],5.0,2,4,-19,2,0,1987-88,,0,107,0,4
NHL,14,0,27,8,1,0,,NYR,[],0.0,0,1,-7,0,0,1987-88,,0,34,0,1
NHL,49,0,27,32,5,0,,VAN,[],6.3,2,3,-12,2,0,1987-88,,0,73,0,3
NHL,74,1,28,59,14,0,,VAN,[],5.1,2,11,3,3,1,1988-89,,0,82,0,11
NHL,67,0,29,45,2,0,,VAN,[],0.0,0,2,-27,0,0,1989-90,,0,91,0,2
