game_winning_goals,plus_minus,shots,shorthanded_assists,games_played,assists,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,average_ice_time,league,shotsPercentage,power_play_assists,age,pim,awards,points,even_strength_goals,total_ice_time,team
1,1,35,0,32,7,1993-94,5,0,6,3,,NHL,17.1,2,20,12,[],13,3,,BUF
2,-6,51,0,42,4,1994-95,2,1,7,0,,NHL,13.7,2,21,19,[],11,6,,BUF
0,-8,130,0,67,25,1995-96,18,1,25,8,,NHL,19.2,7,22,33,[],50,16,,BUF
3,14,136,1,81,26,1996-97,17,1,22,4,,NHL,16.2,8,23,32,[],48,17,,BUF
3,8,134,0,81,19,1997-98,13,1,20,4,,NHL,14.9,6,24,42,[],39,15,,TOT
3,10,115,0,68,17,1997-98,11,1,19,4,,NHL,16.5,6,24,36,[],36,14,,BUF
0,-2,19,0,13,2,1997-98,2,0,1,0,,NHL,5.3,0,24,6,[],3,1,,NYI
1,0,81,0,59,8,1998-99,7,0,6,1,11:21,NHL,7.4,1,25,22,[],14,5,669,TOT
0,0,29,0,22,3,1998-99,2,0,2,0,11:55,NHL,6.9,1,25,8,[],5,2,262,NYI
1,0,52,0,37,5,1998-99,5,0,4,1,11:00,NHL,7.7,0,25,14,[],9,3,407,MTL
0,0,8,0,3,1,1999-00,1,0,0,0,13:35,NHL,0.0,0,26,2,[],1,0,41,NYR
0,-1,1,0,1,0,2001-02,0,0,0,0,9:21,NHL,0.0,0,28,0,[],0,0,9,NYR
