assists,year,games_played,points,goals,team,age,pim,plus_minus,league
7,1989-90,12,11,4,Peterborough Petes,16,4,0,OHL
1,1990-91,4,4,3,Peterborough Petes,17,0,0,OHL
0,1991-92,4,5,5,Peterborough Petes,18,0,0,OHL
33,1992-93,21,51,18,Peterborough Petes,19,18,0,OHL
0,1992-93,3,1,1,Rochester Americans,19,0,0,AHL
6,1992-93,5,9,3,Peterborough Petes,19,4,0,M-Cup
7,1999-00,21,17,10,Hartford Wolf Pack,26,37,0,AHL
0,2001-02,9,4,4,Hartford Wolf Pack,28,15,0,AHL
0,2002-03,3,0,0,Worcester IceCats,29,5,-2,AHL
0,2003-04,1,0,0,Rochester Americans,30,0,0,AHL
6,2004-05,15,7,1,Charlotte Checkers,31,4,0,ECHL
