bad_start,shutouts,awards,points,goals_allowed_average,goals_saved_aboved_average,shots_againist,league,good_starts,age,good_start_precentages,saves,pim,goals,games_started,goals_allowed_precentage,goals_allowed,saves_percentage,year,team,loses,goalie_point_share,assists,ties,wins,games_played,minutes
0,0,[],0,2.35,0,0,NHL,0,25,0,0,0,0,0,0,2,0,1981-82,LAK,0,0.2,0,0,0,2,51
0,0,[],0,4.17,0,0,NHL,0,26,0,0,2,0,0,0,30,0,1982-83,LAK,4,1.0,0,0,4,9,432
0,0,[],1,4.33,-5.28,891,NHL,0,27,0,773,6,0,0,105,118,.868,1983-84,LAK,11,4.4,1,5,9,29,1634
