average_ice_time,points,game_winning_goals,shorthanded_goals,league,age,even_strength_assists,pim,plus_minus,shots,even_strength_goals,power_play_goals,shorthanded_assists,power_play_assists,year,team,goals,assists,awards,shotsPercentage,total_ice_time,games_played
,25,2,1,NHL,18,7,14,-8,86,9,5,1,2,1994-95,SJS,15,10,"[{'link': '/awards/voting-1995.html#calder', 'name': 'Calder-4'}]",17.4,,48
,46,0,0,NHL,19,20,42,-19,123,13,2,3,8,1995-96,SJS,15,31,[],12.2,,79
,62,5,2,NHL,20,26,75,-8,200,20,6,1,7,1996-97,SJS,28,34,[],14.0,,0
,63,7,0,NHL,21,17,40,8,186,18,7,1,14,1997-98,SJS,31,32,"[{'link': '/awards/voting-1998.html#AS', 'name': 'AS-5'}, {'link': '/awards/voting-1998.html#selke', 'name': 'Selke-18'}]",16.7,,79
19:25,57,3,1,NHL,22,19,42,3,215,11,10,2,14,1998-99,SJS,22,35,[],10.2,1515,78
19:48,61,7,3,NHL,23,19,47,-2,191,12,11,3,13,1999-00,SJS,26,35,[],13.6,1623,82
19:21,48,1,0,NHL,24,21,66,5,149,10,4,2,11,2000-01,TOT,14,34,[],9.4,1528,79
18:51,36,1,0,NHL,24,15,56,7,120,10,2,1,8,2000-01,SJS,12,24,[],10.0,1206,64
21:28,12,0,0,NHL,24,6,10,-2,29,0,2,1,3,2000-01,MDA,2,10,[],6.9,322,15
17:59,43,0,1,NHL,25,15,44,-1,161,15,1,1,10,2001-02,MDA,17,26,[],10.6,1457,81
15:33,51,4,0,NHL,26,23,26,23,179,20,3,0,5,2002-03,NJD,23,28,"[{'link': '/awards/voting-2003.html#AS', 'name': 'AS-9'}, {'link': '/awards/voting-2003.html#selke', 'name': 'Selke-14'}]",12.8,1259,81
15:08,37,4,0,NHL,27,14,26,8,177,12,5,0,6,2003-04,NJD,17,20,[],9.6,1226,81
13:23,11,1,0,NHL,29,5,32,-15,75,4,0,0,2,2005-06,TOT,4,7,[],5.3,682,51
14:45,7,0,0,NHL,29,2,24,-11,64,3,0,0,2,2005-06,WSH,3,4,[],4.7,487,33
10:53,4,1,0,NHL,29,3,8,-4,11,1,0,0,0,2005-06,MDA,1,3,[],9.1,196,18
12:11,12,0,1,NHL,30,4,34,-2,55,5,0,1,1,2006-07,CGY,6,6,[],10.9,877,72
