assists,year,games_played,points,goals,team,age,pim,plus_minus,league
0,1922-23,19,3,3,Eveleth Rangers,23,0,0,USAHA
2,1923-24,12,4,2,Fort William Forts,24,2,0,TBSHL
2,1924-25,19,4,2,Fort William Forts,25,0,0,TBSHL
0,1925-26,17,4,4,Fort William Forts,26,22,0,TBSHL
1,1926-27,20,11,10,Fort William Forts,27,18,0,TBSHL
3,1927-28,21,13,10,Fort William Forts,28,12,0,TBSHL
3,1928-29,40,9,6,Duluth Hornets,29,79,0,AHA
4,1929-30,48,11,7,Duluth Hornets,30,61,0,AHA
8,1930-31,48,15,7,Duluth Hornets,31,68,0,AHA
6,1931-32,48,16,10,Duluth Hornets,32,64,0,AHA
1,1932-33,22,2,1,Detroit Olympics,33,26,0,IHL
7,1933-34,16,12,5,Montreal LaFontaine,34,2,0,MCHL
4,1934-35,19,6,2,Montreal LaFontaine,35,4,0,MCHL
