power_play_goals,games_played,points,game_winning_goals,league,year,age,goals,team,average_ice_time,assists,pim,plus_minus,shorthanded_goals,shots,total_ice_time,win,shotsPercentage,even_strength_goals
0,5,1,0,NHL,1973-74,24,0,LAK,,1,0,-1,0,12,,,0.0,0
0,3,0,0,NHL,1974-75,25,0,LAK,,0,0,-1,0,3,,,0.0,0
1,9,5,2,NHL,1975-76,26,2,LAK,,3,4,-2,0,25,,,8.0,1
3,9,12,2,NHL,1976-77,27,7,LAK,,5,0,-2,0,26,,,26.9,4
0,2,0,0,NHL,1977-78,28,0,LAK,,0,2,-2,0,2,,,0.0,0
0,2,0,0,NHL,1978-79,29,0,LAK,,0,0,0,0,2,,,0.0,0
1,0,19,0,NHL,1979-80,30,7,NYI,,12,2,8,0,43,,SC,16.3,6
4,18,20,2,NHL,1980-81,31,10,NYI,,10,6,6,0,36,,SC,0,4
1,0,11,2,NHL,1981-82,32,6,NYI,,5,12,8,0,25,,SC,24.0,5
0,0,12,1,NHL,1982-83,33,4,NYI,,8,4,5,0,26,,SC,15.4,4
1,0,6,0,NHL,1983-84,34,1,NYI,,5,2,2,0,16,,,6.3,0
0,5,2,0,NHL,1984-85,35,1,BOS,,1,0,1,0,11,,,9.1,1
