assists,team,goals,year,games_played,points,pim,age,plus_minus,league
1,North Bay Centennials,2,1989-90,2,3,2,18,0,OHL
1,North Bay Centennials,2,1990-91,2,3,2,19,0,OHL
6,North Bay Centennials,3,1991-92,10,9,4,20,0,OHL
0,Baltimore Skipjacks,1,1992-93,2,1,0,21,0,AHL
0,Milwaukee Admirals,0,1993-94,2,0,17,22,0,IHL
0,Indianapolis Ice,0,1995-96,5,0,4,24,0,IHL
1,Portland Pirates,1,1996-97,3,2,4,25,0,AHL
4,Portland Pirates,2,1997-98,10,6,20,26,0,AHL
