game_winning_goals,shotsPercentage,plus_minus,shots,power_play_goals,age,average_ice_time,games_played,assists,year,points,shorthanded_goals,goals,even_strength_goals,team,win,pim,total_ice_time,league
0,4.8,0,21,1,19,,14,1,1988-89,2,0,1,0,MTL,,6,,NHL
0,0.0,0,15,0,20,,6,0,1989-90,0,0,0,0,MTL,,10,,NHL
0,4.3,5,23,1,21,,13,4,1990-91,5,0,1,0,MTL,,8,,NHL
0,10.7,0,28,1,22,,11,3,1991-92,6,0,3,2,MTL,,4,,NHL
1,8.5,2,47,1,23,,20,10,1992-93,14,0,4,3,MTL,SC,23,,NHL
0,0.0,-1,9,0,24,,7,2,1993-94,2,0,0,0,MTL,,4,,NHL
2,11.4,13,35,1,25,,15,4,1994-95,8,0,4,3,PHI,,10,,NHL
0,0.0,-5,26,0,26,,12,6,1995-96,6,0,0,0,PHI,,2,,NHL
0,4.1,9,49,0,27,,19,8,1996-97,10,0,2,2,PHI,,12,,NHL
0,0.0,-3,17,0,28,,5,1,1997-98,1,0,0,0,PHI,,0,,NHL
1,9.5,1,21,1,29,26:40,6,2,1998-99,4,0,2,1,PHI,,4,160,NHL
1,6.5,1,31,1,30,28:00,18,10,1999-00,12,0,2,1,PHI,,2,504,NHL
0,10.0,-2,10,0,31,27:49,6,1,2000-01,2,0,1,1,PHI,,0,167,NHL
0,0.0,-3,6,0,32,22:30,5,1,2001-02,1,0,0,0,PHI,,2,112,NHL
0,12.5,2,16,0,33,27:38,5,1,2002-03,3,0,2,2,PHI,,0,138,NHL
0,10.0,-3,10,0,36,25:00,6,3,2005-06,4,0,1,1,PHI,,6,150,NHL
