assists,year,games_played,points,goals,team,age,pim,plus_minus,league
30,1985-86,42,36,6,Laval-Laurentides,16,54,0,QAAA
24,1986-87,66,38,14,Granby Bisons,17,75,0,QMJHL
49,1987-88,62,67,18,Granby Bisons,18,138,0,QMJHL
0,1987-88,7,0,0,Canada,18,6,0,WJC-A
0,1987-88,3,0,0,Sherbrooke Canadiens,18,6,0,AHL
4,1988-89,7,5,1,Canada,19,6,0,WJC-A
0,1990-91,2,0,0,Montreal Canadiens,21,0,0,Fr-Tour
2,1991-92,8,3,1,Canada,22,6,0,Can-Cup
2,1996-97,8,3,1,Canada,27,4,0,W-Cup
0,1997-98,6,0,0,Canada,28,2,0,Olympics
