year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1992-93,16,1,4,0,0,WHL,4,Tri-City Americans,1
1993-94,17,2,15,2,0,WHL,4,Tri-City Americans,4
1994-95,18,12,52,15,0,WHL,17,Tri-City Americans,27
1995-96,19,14,20,13,0,WHL,11,Tri-City Americans,27
