even_strength_goals,assists,team,goals,pim,age,game_winning_goals,total_ice_time,league,shorthanded_goals,shots,average_ice_time,year,games_played,shotsPercentage,win,power_play_goals,points,plus_minus
0,1,SJS,0,0,21,0,,NHL,0,2,18,1999-00,1,0.0,,0,1,0
0,1,SJS,0,6,22,0,,NHL,0,20,151,2000-01,6,0.0,,0,1,-1
0,2,SJS,0,12,23,0,,NHL,0,10,249,2001-02,12,0.0,,0,2,-1
0,5,SJS,1,22,25,1,,NHL,0,25,453,2003-04,17,4.0,,1,6,7
0,1,SJS,0,6,27,0,,NHL,0,12,278,2005-06,11,0.0,,0,1,0
0,2,SJS,0,33,28,0,,NHL,0,6,239,2006-07,11,0.0,,0,2,4
0,1,COL,0,4,29,0,14,NHL,0,10,173,2007-08,9,0.0,,0,1,0
0,0,COL,0,4,31,0,5,NHL,0,3,135,2009-10,6,0.0,,0,0,3
0,1,WSH,0,2,32,0,17,NHL,0,6,213,2010-11,9,0.0,,0,1,1
0,4,SJS,0,4,34,0,20,NHL,0,9,190,2012-13,11,0.0,,0,4,1
0,2,SJS,0,0,35,0,16,NHL,0,7,124,2013-14,7,0.0,,0,2,1
