shotsPercentage,faceoff_loses,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,giveaways,total_shots,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,takeaways,faceoff_percentage,age,game_winning_goals,league,shorthanded_goals,blocks,average_ice_time,hits,games_played,faceoff_wins,points,awards,power_play_goals
0.0,0,1998-99,6,1,36,0,0,0,4,1,0,0,2,SJS,0,0,0,20,0,NHL,0,0,7:15,0,5,0,2,[],0
3.6,0,1999-00,10,2,514,0,0,0,28,0,1,7,2,SJS,1,0,0,21,0,NHL,0,0,17:09,0,30,0,3,[],0
3.1,0,2000-01,51,11,1427,1,0,0,96,2,3,10,14,SJS,3,0,0,22,1,NHL,0,0,19:02,0,75,0,17,[],0
2.9,0,2001-02,57,10,1524,1,0,0,68,1,2,10,12,SJS,2,0,0,23,1,NHL,0,0,20:19,0,75,0,14,[],0
2.9,0,2002-03,61,14,1965,1,0,0,103,4,2,0,19,SJS,3,0,0,24,0,NHL,0,0,24:16,0,81,0,22,[],1
5.3,0,2003-04,48,13,1942,0,0,0,114,2,6,10,15,SJS,6,0,0,25,0,NHL,0,0,23:41,0,82,0,21,[],0
5.8,0,2005-06,58,9,1991,1,0,0,104,8,4,7,18,SJS,6,0,0,27,1,NHL,0,0,24:34,0,81,0,24,[],2
5.1,0,2006-07,38,15,1803,0,0,0,79,5,3,1,20,SJS,4,0,0,28,1,NHL,1,0,22:49,0,79,0,24,"[{'link': '/awards/voting-2007.html#AS', 'name': 'AS-19'}]",0
2.5,0,2007-08,55,17,1860,1,48,148,79,1,2,-5,19,COL,2,33,100.0,29,0,NHL,0,153,22:41,58,82,1,21,[],0
1.4,1,2008-09,26,9,1812,0,36,143,70,0,1,-21,9,COL,1,28,0.0,30,0,NHL,0,162,22:22,56,81,0,10,[],0
3.8,0,2009-10,40,13,1776,1,37,123,53,0,2,2,14,COL,2,29,100.0,31,0,NHL,0,144,21:56,67,81,2,16,[],0
1.8,0,2010-11,34,9,1543,1,41,109,56,0,1,4,10,TOT,1,19,0,32,0,NHL,0,122,19:47,84,78,0,11,[],0
0.0,0,2010-11,6,5,429,1,12,38,21,0,0,1,6,COL,0,5,0,32,0,NHL,0,36,18:38,26,23,0,6,[],0
2.9,0,2010-11,28,4,1115,0,29,71,35,0,1,3,4,WSH,1,14,0,32,0,NHL,0,86,20:16,58,55,0,5,[],0
4.1,0,2011-12,38,9,1588,1,39,103,49,0,2,-10,10,CGY,2,13,100.0,33,0,NHL,0,126,20:21,60,78,1,12,[],0
0.0,0,2012-13,22,1,639,0,10,53,25,0,0,-14,1,TOT,0,9,0,34,0,NHL,0,54,19:21,35,33,0,1,[],0
0.0,0,2012-13,20,1,565,0,9,43,20,0,0,-11,1,NSH,0,9,0,34,0,NHL,0,47,19:30,29,29,0,1,[],0
0.0,0,2012-13,2,0,73,0,1,10,5,0,0,-3,0,SJS,0,0,0,34,0,NHL,0,7,18:17,6,4,0,0,[],0
5.8,0,2013-14,55,8,995,1,23,105,52,0,3,1,9,SJS,3,13,0,35,0,NHL,0,73,17:46,29,56,0,12,[],0
3.8,0,2014-15,26,5,946,0,16,96,53,0,2,0,5,SJS,2,8,0,36,0,NHL,0,69,16:19,32,58,0,7,[],0
