shotsPercentage,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,age,game_winning_goals,league,shorthanded_goals,average_ice_time,games_played,points,awards,power_play_goals
9.9,1972-73,17,24,,0,121,2,12,9,26,BUF,12,24,0,NHL,0,,60,38,[],0
0,1973-74,78,0,,0,0,0,21,0,28,NEW,24,25,2,WHA,0,,75,52,[],3
13.8,1974-75,64,0,,0,239,0,26,8,44,TOT,33,26,0,WHA,0,,80,77,[],7
18.9,1974-75,15,0,,0,53,0,9,2,10,PHR,10,26,0,WHA,0,,22,20,[],1
12.4,1974-75,49,0,,0,186,0,17,6,34,VNB,23,26,0,WHA,0,,58,57,[],6
7.3,1975-76,42,0,,0,232,0,14,-6,37,TOT,17,27,3,WHA,0,,71,54,[],3
7.6,1975-76,19,0,,0,66,0,5,-7,9,CGC,5,27,2,WHA,0,,30,14,[],0
7.2,1975-76,23,0,,0,166,0,9,1,28,INR,12,27,1,WHA,0,,41,40,[],3
11.5,1976-77,21,0,,0,182,0,13,10,35,INR,21,28,0,WHA,4,,46,56,[],4
10.2,1977-78,36,0,,0,118,0,12,-3,30,TOT,12,29,0,WHA,0,,64,42,[],0
4.3,1977-78,6,0,,0,23,0,1,-4,7,INR,1,29,0,WHA,0,,19,8,[],0
11.6,1977-78,30,0,,0,95,0,11,1,23,CNS,11,29,0,WHA,0,,45,34,[],0
