goals_allowed_precentage,goalie_point_share,goals_saved_aboved_average,bad_start,year,awards,goals_allowed,minutes,ties,pim,good_starts,saves,shots_againist,assists,team,shutouts,goals,games_started,goals_allowed_average,age,league,saves_percentage,good_start_precentages,games_played,points,wins,loses
0,0.1,0,0,1985-86,[],6,51,0,0,0,29,35,0,LAK,0,0,0,7.06,23,NHL,.829,0,1,0,0,0
112,4.3,-14.23,0,1987-88,[],135,1869,1,6,0,870,1005,2,LAK,1,0,0,4.33,25,NHL,.866,0,34,2,12,18
106,7.3,-10.02,0,1988-89,[],192,2699,2,28,0,1317,1509,1,LAK,0,0,0,4.27,26,NHL,.873,0,48,1,25,19
89,7.7,15.83,0,1989-90,[],128,2197,6,7,0,1082,1210,1,NYI,2,0,0,3.50,27,NHL,.894,0,39,1,12,19
94,9.5,11.47,0,1990-91,[],166,2999,9,14,0,1391,1557,2,NYI,0,0,0,3.32,28,NHL,.893,0,53,2,18,24
106,5.0,-7.12,0,1991-92,[],124,1960,4,18,0,921,1045,1,NYI,1,0,0,3.80,29,NHL,.881,0,37,1,14,16
96,7.4,5.45,0,1992-93,[],146,2655,2,2,0,1170,1316,2,NYI,1,0,0,3.30,30,NHL,.889,0,47,2,22,20
116,2.2,-9.51,0,1993-94,[],69,1368,2,2,0,498,567,2,NYR,2,0,0,3.03,31,NHL,.878,0,29,2,10,12
93,2.3,2.48,0,1994-95,"[{'link': '/awards/voting-1995.html#vezina', 'name': 'Vezina-13'}]",35,888,1,2,0,342,377,2,NYR,1,0,0,2.36,32,NHL,.907,0,17,2,8,6
99,6.8,1.65,0,1995-96,[],124,2564,11,8,0,1113,1237,1,NYR,2,0,0,2.90,33,NHL,.900,0,44,1,17,14
98,3.6,1.21,0,1996-97,[],59,1357,4,4,0,573,632,0,NYR,1,0,0,2.61,34,NHL,.907,0,23,0,5,12
125,1.5,-10.53,0,1997-98,[],53,1068,2,0,0,400,453,0,TOR,0,0,0,2.98,35,NHL,.883,0,21,0,4,10
0,1.1,0,0,1998-99,[],27,546,0,0,0,230,257,0,TOR,0,0,0,2.97,36,NHL,.895,0,9,0,6,3
117,2.3,-8.61,0,1999-00,[],59,1164,0,2,0,468,527,1,TOR,2,0,0,3.04,37,NHL,.888,0,20,1,9,10
119,1.4,-5.98,0,2000-01,[],38,871,3,0,0,293,331,0,TOR,0,0,0,2.62,38,NHL,.885,0,15,0,4,7
