age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
21,,0.0,0,0,0,NHL,3,0,1982-83,0,5,0,,0,2,,MTL,0
22,,0.0,0,3,5,NHL,15,0,1983-84,0,14,0,,0,23,,MTL,3
23,,0.0,0,2,-7,NHL,12,0,1984-85,0,13,0,,0,6,,MTL,2
24,SC,0.0,0,1,3,NHL,20,0,1985-86,0,13,0,,0,48,,MTL,1
25,,14.3,2,3,2,NHL,17,0,1986-87,1,14,2,,0,30,,MTL,5
26,,14.3,1,1,1,NHL,11,0,1987-88,0,7,1,,0,6,,MTL,2
27,,0.0,0,2,10,NHL,21,0,1988-89,0,18,0,,0,24,,MTL,2
28,,0.0,0,1,5,NHL,11,0,1989-90,0,9,0,,0,16,,MTL,1
30,,0.0,0,1,1,NHL,7,0,1991-92,0,2,0,,0,19,,MNS,1
32,,0.0,0,3,3,NHL,9,0,1993-94,0,15,0,,0,8,,DAL,3
33,,0.0,0,1,5,NHL,4,0,1994-95,0,2,0,,0,2,,DAL,1
35,,0.0,0,2,1,NHL,7,0,1996-97,0,5,0,,0,18,,DAL,2
36,,0.0,0,1,0,NHL,17,0,1997-98,0,10,0,,0,22,,DAL,1
37,SC,16.7,1,4,2,NHL,0,0,1998-99,0,6,1,16:30,0,20,380,DAL,5
