assists,year,games_played,points,goals,team,age,pim,plus_minus,league
0,2006-07,6,0,0,Barrie Colts,16,0,-1,OHL
2,2007-08,9,3,1,Barrie Colts,17,16,-4,OHL
2,2008-09,5,4,2,Barrie Colts,18,19,-2,OHL
1,2009-10,17,9,8,Barrie Colts,19,29,3,OHL
0,2009-10,2,0,0,Hershey Bears,19,0,-1,AHL
0,2010-11,1,0,0,Peoria Rivermen,20,0,1,AHL
