pim,team,assists,plus_minus,points,league,games_played,year,age,goals
2,Belleville Bulls,2,0,3,OHL,4,1982-83,19,1
4,Belleville Bulls,0,0,2,OHL,3,1983-84,20,2
16,Fredericton Express,1,0,3,AHL,4,1984-85,21,2
22,Milwaukee Admirals,2,0,5,IHL,6,1990-91,27,3
37,Kalamazoo Wings,4,0,6,IHL,10,1991-92,28,2
38,Tulsa Oilers,9,0,13,CHL,11,1993-94,30,4
30,Tulsa Oilers,1,0,1,CHL,7,1994-95,31,0
33,Huntsville Channel Cats,13,0,21,SHL,10,1995-96,32,8
8,Tulsa Oilers,2,0,4,CHL,5,1996-97,33,2
62,Wichita Thunder,10,0,11,CHL,15,1997-98,34,1
6,Corpus Christi Ice Rays,1,0,2,WPHL,4,1998-99,35,1
