pim,team,assists,plus_minus,points,league,games_played,year,age,goals
22,Edgewood Crusaders,30,0,55,High-WI,22,2000-01,18,25
122,Green Bay Gamblers,33,0,57,USHL,61,2001-02,19,24
32,University of Wisconsin,6,0,6,WCHA,19,2002-03,20,0
63,University of Wisconsin,13,0,19,WCHA,43,2003-04,21,6
41,University of Wisconsin,7,0,20,WCHA,41,2004-05,22,13
67,University of Wisconsin,24,0,33,WCHA,42,2005-06,23,9
146,Norfolk Admirals,10,-2,21,AHL,64,2006-07,24,11
27,United States,3,2,3,WC-A,7,2007-08,25,0
14,Worcester Sharks,3,-6,7,AHL,18,2014-15,32,4
18,Chicago Wolves,6,-2,12,AHL,36,2014-15,32,6
