year,age,goals,pim,assists,plus_minus,league,games_played,team,points
2002-03,18,36,32,33,26,USHL,60,Waterloo Black Hawks,69
2003-04,19,21,58,31,10,USHL,54,Waterloo Black Hawks,52
2004-05,20,16,26,29,0,WCHA,41,University of Wisconsin,45
2005-06,21,23,34,33,0,WCHA,43,University of Wisconsin,56
2006-07,22,8,8,18,9,AHL,16,Worcester Sharks,26
2008-09,24,1,0,1,1,WC-A,5,United States,2
2009-10,25,0,4,3,2,Olympics,6,United States,3
2012-13,28,7,10,8,0,KHL,17,Dynamo Minsk,15
2013-14,29,1,0,4,1,Olympics,6,United States,5
2016-17,32,1,0,1,-1,WCup,3,USA,2
