pim,team,assists,plus_minus,points,league,games_played,year,age,goals
81,Portage Terriers,41,0,80,MJHL,48,1973-74,17,39
62,Brandon Wheat Kings,41,0,84,WCJHL,70,1974-75,18,43
49,Brandon Wheat Kings,59,0,103,WCJHL,69,1975-76,19,44
70,Brandon Wheat Kings,50,0,125,WCJHL,72,1976-77,20,75
43,Fort Wayne Komets,61,0,108,IHL,79,1977-78,21,47
30,Springfield Indians,39,0,72,AHL,80,1978-79,22,33
91,Binghamton Dusters,32,0,61,AHL,64,1979-80,23,29
29,New Haven Nighthawks,13,0,23,AHL,22,1982-83,26,10
102,2 Teams,37,0,59,AHL,79,1983-84,27,22
27,New Haven Nighthawks,14,0,23,AHL,35,1983-84,27,9
75,Nova Scotia Voyageurs,23,0,36,AHL,44,1983-84,27,13
43,Adirondack Red Wings,13,0,16,AHL,31,1984-85,28,3
