won,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,saves
,0,NHL,6,DET,463,21,4,0,0,13,0,0,0,1,2,0,0,0,0,0,1950-51,0,1.68,0,0
SC,0,NHL,8,DET,480,22,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1951-52,0,0,0,0
,0,NHL,6,DET,372,23,0,0,0,21,0,0,0,1,2,0,0,0,0,0,1952-53,0,3.39,10,0
SC,0,NHL,0,DET,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1953-54,0,0,2,0
SC,0,NHL,11,DET,0,25,3,0,0,26,0,0,0,0,0,0,0,0,0,0,1954-55,0,0,12,0
,0,NHL,4,DET,252,28,4,0,0,19,0,0,0,0,0,0,0,0,0,0,1957-58,0,4.52,0,0
,0,NHL,6,DET,405,30,4,0,0,20,0,0,0,0,2,0,0,0,0,0,1959-60,0,2.96,0,0
,0,NHL,8,DET,465,31,3,0,0,18,0,0,0,1,5,0,0,0,0,0,1960-61,0,2.32,0,0
,0,NHL,0,DET,0,33,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1962-63,0,3.18,0,0
,0,NHL,13,DET,677,34,5,0,0,0,0,0,0,1,6,0,0,0,0,0,1963-64,0,2.75,2,0
,0,NHL,1,TOR,60,35,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1964-65,0,3.00,0,0
,0,NHL,2,TOR,120,36,2,0,0,6,0,0,0,0,0,0,0,0,0,0,1965-66,0,3.00,0,0
SC,0,NHL,0,TOR,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1966-67,0,2.65,0,0
,0,NHL,5,LAK,280,38,3,0,0,18,0,0,0,0,2,0,0,0,0,0,1967-68,0,3.86,0,0
,0,NHL,3,NYR,80,40,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1969-70,0,4.50,0,0
