game_winning_goals,takeaways,plus_minus,shots,faceoff_loses,shorthanded_assists,games_played,assists,faceoff_wins,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,pim,league,shotsPercentage,power_play_assists,hits,faceoff_percentage,blocks,age,total_shots,average_ice_time,awards,points,giveaways,even_strength_goals,total_ice_time,team
0,0,0,0,0,0,1,0,0,1999-00,0,0,0,0,0,NHL,0,0,0,0,0,25,0,8:31,[],0,0,0,9,BOS
0,0,-1,2,0,0,3,0,0,2000-01,0,0,0,0,6,NHL,0.0,0,0,0,0,26,0,5:30,[],0,0,0,17,CHI
1,0,-2,10,0,0,36,0,0,2001-02,0,0,1,0,76,NHL,10.0,0,0,0,0,27,0,5:06,[],1,0,1,184,CHI
0,0,1,14,0,0,43,1,0,2002-03,1,0,1,0,69,NHL,7.1,0,0,0,0,28,0,4:47,[],2,0,1,205,DAL
1,0,2,11,0,0,37,1,0,2003-04,1,0,1,0,77,NHL,9.1,0,0,0,0,29,0,4:30,[],2,0,1,167,DAL
0,0,2,21,0,0,42,4,0,2005-06,4,0,3,0,95,NHL,14.3,0,0,0,0,31,0,5:36,[],7,0,3,235,TOT
0,0,0,11,0,0,17,0,0,2005-06,0,0,2,0,45,NHL,18.2,0,0,0,0,31,0,3:56,[],2,0,2,67,STL
0,0,2,10,0,0,25,4,0,2005-06,4,0,1,0,50,NHL,10.0,0,0,0,0,31,0,6:43,[],5,0,1,168,MTL
1,0,-6,10,0,0,21,0,0,2006-07,0,0,1,0,48,NHL,10.0,0,0,0,0,32,0,4:59,[],1,0,1,105,MTL
0,3,0,15,0,0,56,3,0,2007-08,3,0,0,0,116,NHL,0.0,0,79,0,6,33,22,4:35,[],3,4,0,257,DET
0,0,0,2,0,0,4,1,0,2008-09,1,0,1,0,7,NHL,50.0,0,11,0,1,34,2,5:13,[],2,2,1,21,DET
