age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
23,,0.0,0,0,-1,NHL,3,0,1983-84,0,1,0,,0,7,,DET,0
24,,11.5,2,4,-2,NHL,17,0,1984-85,0,26,3,,1,70,,PHI,7
26,,0.0,0,0,-2,NHL,2,0,1986-87,0,1,0,,0,0,,LAK,0
