assists,year,games_played,points,goals,team,age,pim,plus_minus,league
1,2004-05,10,1,0,Sodertalje SK,26,8,0,Sweden
2,2005-06,4,4,2,Nurnberg Ice Tigers,27,8,0,Germany
8,2006-07,20,14,6,MODO Hockey Ornskoldsvik,28,55,0,Sweden
8,2007-08,17,13,5,HC Slovan Bratislava,29,33,0,Slovakia
6,2008-09,12,8,2,HC Slovan Bratislava,30,6,0,Slovakia
