assists,year,games_played,points,goals,team,age,pim,plus_minus,league
43,1994-95,36,79,36,Dukla Trencin Jr.,16,39,0,Slovak-Jr.
10,1994-95,5,17,7,Slovakia,16,2,0,EJC-B
9,1995-96,56,19,10,Utah Grizzlies,17,28,0,IHL
13,1996-97,56,27,14,2 Teams,18,36,0,IHL
6,1996-97,13,10,4,Long Beach Ice Dogs,18,14,0,IHL
7,1996-97,43,17,10,Las Vegas Thunder,18,22,0,IHL
25,1997-98,36,46,21,Syracuse Crunch,19,77,11,AHL
17,1998-99,48,35,18,Syracuse Crunch,20,70,-20,AHL
4,1998-99,20,6,2,Houston Aeros,20,24,1,IHL
26,1999-00,51,38,12,Wilkes-Barre Scranton Pens,21,83,-6,AHL
15,2000-01,34,24,9,2 Teams,22,61,0,CzRep
3,2000-01,5,3,0,HC Ocelari Trinec,22,4,0,CzRep
12,2000-01,29,21,9,HC Vagnerplast Kladno,22,57,0,CzRep
8,2001-02,39,17,9,Wilkes-Barre Scranton Pens,23,53,-7,AHL
29,2002-03,56,56,27,Saint John Flames,24,41,2,AHL
7,2003-04,13,12,5,Lowell Lock Monsters,25,19,9,AHL
19,2003-04,28,29,10,Sodertalje SK,25,8,0,Sweden
10,2004-05,50,22,12,Sodertalje SK,26,92,0,Sweden
23,2005-06,48,35,12,Nurnberg Ice Tigers,27,80,0,Germany
10,2006-07,50,23,13,MODO Hockey Ornskoldsvik,28,66,0,Sweden
21,2007-08,37,35,14,HC Slovan Bratislava,29,28,0,Slovakia
24,2008-09,45,48,24,HC Slovan Bratislava,30,75,0,Slovakia
