age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
22,,16.7,0,0,-4,NHL,5,0,1960-61,0,6,1,,0,2,,TOR,1
23,SC,8.0,0,4,2,NHL,0,0,1961-62,0,25,2,,0,6,,TOR,6
24,SC,17.6,0,0,4,NHL,10,0,1962-63,0,17,3,,0,2,,TOR,3
28,,0.0,0,3,-3,NHL,4,0,1966-67,0,8,0,,0,2,,NYR,3
29,,0.0,0,3,-3,NHL,6,0,1967-68,0,14,0,,0,4,,NYR,3
30,,0.0,0,2,-1,NHL,4,0,1968-69,0,10,0,,0,0,,NYR,2
31,,10.0,0,1,-7,NHL,6,0,1969-70,0,10,1,,1,2,,NYR,2
32,,16.7,4,3,-7,NHL,13,0,1970-71,1,30,5,,1,0,,NYR,8
33,,6.3,1,1,0,NHL,7,0,1971-72,0,16,1,,0,0,,MNS,2
35,,11.1,1,0,-2,NHL,5,0,1973-74,0,9,1,,0,2,,LAK,1
36,,0.0,0,0,-1,NHL,3,0,1974-75,0,3,0,,0,0,,LAK,0
37,,16.7,2,1,0,NHL,9,0,1975-76,1,12,2,,0,4,,LAK,3
