age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
22,SC,0,0,0,0,NHL,0,0,1925-26,0,0,1,,0,4,,MTM,1
23,,0,0,0,0,NHL,2,0,1926-27,0,0,1,,0,2,,MTM,1
24,,0,0,0,0,NHL,0,0,1927-28,0,0,2,,0,26,,MTM,2
26,,0,0,0,0,NHL,3,0,1929-30,0,0,0,,0,0,,MTM,0
27,,0,0,0,0,NHL,2,0,1930-31,0,0,0,,0,6,,MTM,0
28,,0,0,1,0,NHL,4,0,1931-32,0,0,0,,0,4,,MTM,1
29,SC,0,0,0,0,NHL,8,0,1932-33,0,0,1,,0,12,,NYR,1
31,,0,0,0,0,NHL,4,0,1934-35,0,0,0,,0,6,,BOS,0
32,,0,0,1,0,NHL,2,0,1935-36,0,0,0,,0,0,,BOS,1
33,,0,0,2,0,NHL,5,0,1936-37,0,0,1,,0,2,,MTL,3
34,,0,0,1,0,NHL,3,0,1937-38,0,0,1,,0,0,,MTL,2
35,,0,0,0,0,NHL,3,0,1938-39,0,0,0,,0,0,,MTL,0
