bad_start,shutouts,awards,points,goals_allowed_average,goals_saved_aboved_average,shots_againist,league,good_starts,age,good_start_precentages,saves,pim,goals,games_started,goals_allowed_precentage,goals_allowed,saves_percentage,year,team,loses,goalie_point_share,assists,ties,wins,games_played,minutes
0,1,[],0,3.70,0.98,572,NHL,0,24,0,504,2,0,0,99,68,.881,1988-89,WIN,8,3.2,0,3,6,20,1102
0,1,"[{'link': '/awards/voting-1990.html#AS', 'name': 'AS-9'}, {'link': '/awards/voting-1990.html#calder', 'name': 'Calder-7'}]",2,3.15,9.85,983,NHL,0,25,0,876,0,0,0,92,107,.891,1989-90,WIN,9,6.1,2,5,18,36,2035
0,4,[],3,3.15,17.52,1496,NHL,0,26,0,1343,6,0,0,90,153,.898,1990-91,WIN,24,9.7,3,6,19,55,2916
0,0,"[{'link': '/awards/voting-1992.html#AS', 'name': 'AS-4'}, {'link': '/awards/voting-1992.html#hart', 'name': 'Hart-13'}, {'link': '/awards/voting-1992.html#vezina', 'name': 'Vezina-3'}]",2,2.88,31.36,1407,NHL,0,27,0,1281,2,0,0,80,126,.910,1991-92,WIN,17,10.1,2,6,21,47,2627
0,2,[],5,3.53,16.87,2119,NHL,0,28,0,1892,2,0,0,93,227,.893,1992-93,WIN,26,12.5,5,6,33,67,3855
0,2,[],2,3.60,-19.79,2051,NHL,0,29,0,1816,6,0,0,109,235,.885,1993-94,TOT,37,9.3,2,8,23,69,3914
0,1,[],0,3.85,-21.15,1714,NHL,0,29,0,1513,6,0,0,112,201,.883,1993-94,WIN,30,7.4,0,6,19,56,3136
0,1,[],2,2.62,1.36,337,NHL,0,29,0,303,0,0,0,96,34,.899,1993-94,DET,7,1.9,2,2,4,13,778
0,1,[],0,2.83,-2.32,406,NHL,0,32,0,365,4,0,0,106,41,.899,1996-97,EDM,8,2.0,0,0,4,19,868
0,0,[],0,2.55,2.88,404,NHL,0,33,0,369,0,0,0,92,35,.913,1997-98,EDM,6,2.7,0,1,6,16,825
0,0,[],1,2.75,-6.19,974,NHL,0,34,0,878,0,0,0,107,96,.901,1998-99,EDM,14,5.0,1,6,12,39,2091
0,1,[],0,2.78,-4.26,719,NHL,0,35,0,646,0,0,0,106,73,.898,1999-00,PHX,10,3.9,0,3,13,30,1573
0,1,[],0,2.68,-9.39,854,NHL,0,36,0,762,4,0,0,111,92,.892,2000-01,VAN,12,4.2,0,3,18,39,2059
0,0,[],0,2.91,0,113,NHL,0,37,0,96,0,0,0,0,17,.850,2001-02,BUF,5,-0.1,0,0,0,9,350
