game_winning_goals,plus_minus,shots,shorthanded_assists,games_played,assists,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,average_ice_time,league,shotsPercentage,power_play_assists,age,pim,awards,points,even_strength_goals,total_ice_time,team
0,2,2,0,5,0,2000-01,0,0,0,0,7:14,NHL,0.0,0,23,0,[],0,0,36,CBJ
0,-11,18,0,17,2,2001-02,2,0,1,0,14:34,NHL,5.6,0,24,10,[],3,1,248,CBJ
0,-12,28,0,34,5,2002-03,5,0,4,0,11:49,NHL,14.3,0,25,18,[],9,4,402,CBJ
