assists,year,games_played,points,goals,team,age,pim,plus_minus,league
0,1993-94,10,0,0,Portland Winter Hawks,16,4,0,WHL
3,1994-95,9,4,1,Portland Winter Hawks,17,0,0,WHL
2,1995-96,7,4,2,Portland Winter Hawks,18,2,0,WHL
1,1996-97,6,1,0,Portland Winter Hawks,19,2,0,WHL
0,1997-98,3,1,1,Rochester Americans,20,2,0,AHL
1,1998-99,18,3,2,Rochester Americans,21,6,0,AHL
2,1999-00,19,6,4,Rochester Americans,22,8,0,AHL
2,2000-01,5,3,1,Syracuse Crunch,23,2,0,AHL
3,2001-02,8,4,1,Syracuse Crunch,24,4,0,AHL
0,2005-06,4,1,1,Nurnberg Ice Tigers,28,6,0,Germany
5,2006-07,4,6,1,KalPa Kuopio,29,0,0,Finland-Q
10,2007-08,18,17,7,Frederikshavn White Hawks,30,18,0,Denmark
5,2008-09,7,7,2,Frederikshavn White Hawks,31,4,0,Denmark
