pim,team,assists,plus_minus,points,league,games_played,year,age,goals
0,Edmonton Poolers,0,0,0,EJrHL,3,1932-33,17,0
0,Edmonton Athletic Club,2,0,3,EJrHL,2,1933-34,18,1
10,Edmonton Athletic Club,7,0,15,M-Cup,13,1933-34,18,8
8,New York Crescents,5,0,9,EAHL,8,1934-35,19,4
0,Philadelphia Ramblers,2,0,4,Can-Am,4,1935-36,20,2
10,Ottawa Commandos,5,0,7,QSHL,11,1942-43,27,2
15,Ottawa Commandos,9,0,20,Al-Cup,12,1942-43,27,11
14,Red Deer Wheelers,3,0,3,ASHL,5,1943-44,28,0
2,New Haven Ramblers,0,0,0,AHL,2,1946-47,31,0
0,Edmonton Flyers,1,0,2,WCMHL,8,1950-51,35,1
