power_play_goals,games_played,points,game_winning_goals,league,year,age,goals,team,average_ice_time,assists,pim,plus_minus,shorthanded_goals,shots,total_ice_time,win,shotsPercentage,even_strength_goals
0,5,0,0,NHL,2012-13,30,0,MIN,81,0,2,-2,0,0,4,,0,0
0,12,5,0,NHL,2014-15,32,2,MTL,235,3,14,5,0,13,25,,15.4,2
