league,games_played,game_winning_goals,age,shots,points,power_play_assists,total_ice_time,team,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,shorthanded_goals,year,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
NHL,12,0,20,15,8,3,,NYR,[],6.7,1,7,6,1,0,1983-84,,0,2,0,4
NHL,75,1,21,101,36,11,,NYR,[],7.9,3,28,-17,8,1,1984-85,,4,71,0,17
NHL,75,1,22,131,43,13,,NYR,[],10.7,11,29,14,14,1,1985-86,,2,88,0,16
NHL,78,0,23,143,55,15,,NYR,"[{'link': '/awards/voting-1987.html#AS', 'name': 'AS-16'}, {'link': '/awards/voting-1987.html#norris', 'name': 'Norris-12'}]",7.0,5,45,13,10,0,1986-87,,5,62,4,26
NHL,70,1,24,187,62,26,,NYR,"[{'link': '/awards/voting-1988.html#AS', 'name': 'AS-8'}, {'link': '/awards/voting-1988.html#norris', 'name': 'Norris-7'}]",9.1,8,45,16,17,0,1987-88,,9,52,0,19
NHL,68,2,25,147,47,23,,NYR,[],7.5,5,36,3,11,0,1988-89,,6,41,1,12
NHL,73,0,26,136,57,25,,NYR,[],10.3,5,43,4,14,0,1989-90,,9,50,2,16
NHL,74,2,27,138,59,31,,NYR,"[{'link': '/awards/voting-1991.html#norris', 'name': 'Norris-8'}]",7.2,4,49,-5,10,0,1990-91,,6,58,1,17
NHL,80,1,28,148,71,28,,NYR,"[{'link': '/awards/voting-1992.html#AS', 'name': 'AS-9'}]",9.5,8,57,34,14,0,1991-92,,6,54,2,27
NHL,60,0,29,99,26,12,,NYR,[],5.1,2,21,1,5,0,1992-93,,3,61,0,9
NHL,68,2,30,91,35,13,,TOT,[],11.0,4,25,-5,10,1,1993-94,,5,40,0,12
NHL,6,0,30,6,3,1,,NYR,[],0.0,0,3,1,0,0,1993-94,,0,2,0,2
NHL,47,2,30,65,28,12,,HAR,[],12.3,3,20,-12,8,1,1993-94,,4,32,0,8
NHL,15,0,30,20,4,0,,CGY,[],10.0,1,2,6,2,0,1993-94,,1,6,0,2
NHL,43,0,31,43,10,1,,CGY,[],0.0,0,10,-3,0,0,1994-95,,0,14,1,8
NHL,80,0,32,116,35,16,,CGY,[],2.6,2,32,3,3,0,1995-96,,1,30,1,15
NHL,19,0,33,22,4,0,,CGY,[],13.6,2,1,2,3,0,1996-97,,1,6,1,0
NHL,60,1,34,57,17,3,,CGY,[],10.5,5,11,-2,6,0,1997-98,,1,26,2,6
NHL,45,0,35,31,8,0,664,BUF,[],3.2,1,7,12,1,0,1998-99,14:45,0,16,0,7
NHL,66,3,36,40,13,0,1055,BUF,[],12.5,5,8,8,5,0,1999-00,15:59,0,22,0,8
NHL,54,0,37,48,13,5,932,BUF,[],8.3,3,9,9,4,0,2000-01,17:16,1,12,0,4
NHL,56,0,38,45,13,2,921,BUF,[],11.1,4,8,3,5,0,2001-02,16:27,1,16,0,6
NHL,69,1,39,63,16,6,1305,BUF,[],6.3,2,12,-3,4,0,2002-03,18:55,2,26,0,6
NHL,55,1,40,44,11,1,1044,BUF,[],9.1,4,7,11,4,0,2003-04,18:59,0,12,0,6
