assists,team,goals,year,games_played,points,pim,age,plus_minus,league
21,Weyburn Red Wings,9,1969-70,35,30,61,18,0,SJHL
15,U. of Minnesota-Duluth,7,1970-71,31,22,69,19,0,WCHA
14,U. of Minnesota-Duluth,7,1971-72,35,21,36,20,0,WCHA
14,Nova Scotia Voyageurs,6,1972-73,49,20,17,21,0,AHL
26,Nova Scotia Voyageurs,11,1973-74,75,37,44,22,0,AHL
27,Nova Scotia Voyageurs,9,1974-75,74,36,93,23,0,AHL
22,Dallas Black Hawks,13,1976-77,70,35,12,25,0,CHL
15,Dallas Black Hawks,6,1977-78,76,21,64,26,0,CHL
16,Dallas Black Hawks,10,1978-79,69,26,52,27,0,CHL
22,Dallas Black Hawks,3,1979-80,68,25,59,28,0,CHL
51,Dallas Black Hawks,8,1980-81,74,59,46,29,0,CHL
6,Wichita Wind,0,1981-82,27,6,26,30,0,CHL
2,HC Ambri-Piotta,6,1982-83,10,8,0,31,0,Swiss-2
