assists,team,goals,year,games_played,points,pim,age,plus_minus,league
0,Weyburn Red Wings,0,1969-70,10,0,7,18,0,SJHL
11,Weyburn Red Wings,6,1969-70,21,17,29,18,0,M-Cup
7,Nova Scotia Voyageurs,2,1972-73,13,9,13,21,0,AHL
2,Nova Scotia Voyageurs,0,1973-74,6,2,0,22,0,AHL
1,Nova Scotia Voyageurs,4,1974-75,6,5,0,23,0,AHL
1,Dallas Black Hawks,0,1976-77,5,1,4,25,0,CHL
2,Dallas Black Hawks,2,1977-78,13,4,8,26,0,CHL
5,Dallas Black Hawks,0,1978-79,9,5,6,27,0,CHL
3,Dallas Black Hawks,0,1980-81,6,3,8,29,0,CHL
3,Wichita Wind,1,1981-82,7,4,12,30,0,CHL
