year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1950-51,18,1,8,3,0,OHA-Jr.,5,Oshawa Generals,4
1952-53,20,1,6,1,0,OHA-Jr.,5,Oshawa Generals,2
1955-56,23,1,11,13,0,EOHL,9,Whitby Dunlops,14
1956-57,24,1,6,2,0,EOHL,9,Whitby Dunlops,3
1956-57,24,1,22,9,0,Al-Cup,8,Whitby Dunlops,10
1958-59,26,2,12,5,0,EOHL,10,Whitby Dunlops,7
1958-59,26,3,8,10,0,Al-Cup,12,Whitby Dunlops,13
1959-60,27,0,0,5,0,OHA-Sr.,11,Whitby Dunlops,5
1959-60,27,0,2,2,0,EPHL,5,Hull-Ottawa Canadiens,2
1960-61,28,1,4,5,0,EPHL,5,Kingston Frontenacs,6
1961-62,29,1,11,10,0,EPHL,1,Kingston Frontenacs,11
1962-63,30,2,9,2,0,EPHL,5,Kingston Frontenacs,4
1963-64,31,0,0,2,0,CPHL,5,Minneapolis Bruins,2
1965-66,33,1,4,7,0,CPHL,9,Oklahoma City Blazers,8
