age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
22,,0.0,0,0,1,NHL,7,0,2003-04,0,6,0,99,0,8,,MTL,0
24,,0.0,0,0,2,NHL,6,0,2005-06,0,8,0,111,0,10,,MTL,0
26,,5.6,1,2,3,NHL,12,0,2007-08,1,18,1,240,0,18,39,MTL,3
27,,0.0,0,0,-4,NHL,4,0,2008-09,0,5,0,76,0,20,10,MTL,0
