bad_start,shutouts,points,goals_allowed_average,goals_saved_aboved_average,shots_againist,league,games_started,age,good_start_precentages,saves,pim,goals,good_starts,goals_allowed_precentage,goals_allowed,saves_percentage,year,team,loses,won,assists,ties,wins,games_played,minutes
0,0,1,5.05,0,0,NHL,0,19,0,0,0,0,0,0,26,0,1981-82,EDM,3,,1,0,2,5,309
0,0,0,0.00,0,0,NHL,0,20,0,0,0,0,0,0,0,0,1982-83,EDM,0,,0,0,0,1,11
0,1,3,2.99,6.41,491,NHL,0,21,0,447,4,0,0,87,44,.910,1983-84,EDM,4,SC,3,0,11,16,883
0,0,3,3.10,6.67,522,NHL,0,22,0,467,2,0,0,89,55,.895,1984-85,EDM,3,SC,3,0,0,0,0
0,0,1,3.11,0.62,273,NHL,0,23,0,245,0,0,0,98,28,.897,1985-86,EDM,4,,1,0,5,9,541
0,0,1,2.46,4.85,511,NHL,0,24,0,464,0,0,0,91,47,.908,1986-87,EDM,5,SC,1,0,14,19,1148
0,0,1,2.90,6.62,471,NHL,0,25,0,416,6,0,0,89,55,.883,1987-88,EDM,2,SC,1,0,0,0,0
0,1,0,3.45,0.19,227,NHL,0,26,0,203,0,0,0,99,24,.894,1988-89,EDM,4,,0,0,3,7,417
0,0,2,3.00,-0.07,488,NHL,0,28,0,437,2,0,0,100,51,.895,1990-91,EDM,7,,2,0,8,17,1019
0,1,0,3.42,-4.49,216,NHL,0,30,0,189,2,0,0,120,27,.875,1992-93,BUF,4,,0,0,3,8,474
0,0,0,0.87,0,45,NHL,0,33,0,44,0,0,0,0,1,.978,1995-96,STL,0,,0,0,1,2,69
0,2,0,2.18,1.84,183,NHL,0,34,0,170,4,0,0,88,13,.929,1996-97,STL,4,,0,0,2,6,357
0,0,1,2.73,-2.78,297,NHL,0,35,0,269,2,0,0,111,28,.906,1997-98,STL,4,,1,0,6,10,616
0,1,1,2.35,-5.00,305,NHL,0,36,0,274,2,0,0,119,31,.898,1998-99,STL,6,,1,0,6,13,790
