assists,year,games_played,points,goals,team,age,pim,plus_minus,league
32,1972-73,43,59,27,North Bay Trappers,18,291,0,ON-Jr.A
21,1973-74,54,34,13,Kingston Canadians,19,216,0,OHA-Jr.
10,1974-75,56,19,9,Tulsa Oilers,20,183,0,CHL
4,1979-80,8,11,7,Houston Apollos,25,16,0,CHL
14,1980-81,34,25,11,Wichita Wind,26,75,0,CHL
29,1981-82,75,54,25,Wichita Wind,27,229,0,CHL
