average_ice_time,points,game_winning_goals,shorthanded_goals,league,age,even_strength_assists,pim,plus_minus,shots,even_strength_goals,power_play_goals,shorthanded_assists,power_play_assists,year,team,goals,assists,awards,shotsPercentage,total_ice_time,games_played
,0,0,0,NHL,20,0,0,0,1,0,0,0,0,1972-73,DET,0,0,[],0.0,,2
,4,0,0,NHL,21,3,7,0,18,1,0,0,0,1973-74,DET,1,3,[],5.6,,18
,47,0,0,WHA,22,0,94,-12,156,13,6,0,0,1974-75,TOT,19,28,[],12.2,,66
,26,0,0,WHA,22,0,73,-12,92,7,3,0,0,1974-75,MIB,10,16,[],10.9,,34
,21,0,0,WHA,22,0,21,0,64,6,3,0,0,1974-75,WNJ,9,12,[],14.1,,32
,50,4,0,WHA,23,0,72,9,173,21,5,0,0,1975-76,CLC,26,24,[],15.0,,80
,18,1,0,NHL,24,9,12,-6,60,6,2,0,1,1976-77,CLR,8,10,[],13.3,,29
,20,0,0,WHA,24,0,19,9,85,9,2,0,0,1976-77,TOT,11,9,[],12.9,,35
,19,0,0,WHA,24,0,19,7,82,8,2,0,0,1976-77,MNF,10,9,[],12.2,,34
,1,0,0,WHA,24,0,0,2,3,1,0,0,0,1976-77,CGC,1,0,[],33.3,,1
