average_ice_time,points,game_winning_goals,shorthanded_goals,league,age,even_strength_assists,pim,plus_minus,shots,even_strength_goals,power_play_goals,shorthanded_assists,power_play_assists,year,team,goals,assists,awards,shotsPercentage,total_ice_time,games_played
,0,0,0,NHL,22,0,0,0,0,0,0,0,0,1965-66,BOS,0,0,[],0,,3
,29,1,1,NHL,24,20,10,9,135,8,0,0,0,1967-68,STL,9,20,[],6.7,,73
,15,0,1,NHL,25,9,14,8,40,4,1,0,0,1968-69,STL,6,9,[],15.0,,57
,11,1,0,NHL,26,5,2,0,44,5,0,0,1,1969-70,STL,5,6,[],11.4,,26
,16,0,1,NHL,27,10,13,3,47,4,0,0,1,1970-71,STL,5,11,[],10.6,,54
,31,3,6,NHL,28,13,12,7,94,6,1,4,1,1971-72,STL,13,18,[],13.8,,75
,26,0,1,NHL,29,19,8,-18,90,4,0,1,1,1972-73,TOT,5,21,[],5.6,,66
,20,0,1,NHL,29,15,6,-22,72,3,0,0,1,1972-73,NYI,4,16,[],5.6,,54
,6,0,0,NHL,29,4,2,4,18,1,0,1,0,1972-73,PHI,1,5,[],5.6,,12
,31,3,2,NHL,30,17,28,12,88,7,1,2,2,1973-74,PHI,10,21,[],11.4,,71
,27,1,1,NHL,31,15,20,11,70,7,0,1,3,1974-75,PHI,8,19,[],11.4,,71
,15,1,0,NHL,32,9,28,6,48,5,1,0,0,1975-76,PHI,6,9,[],12.5,,38
,0,0,0,NHL,33,0,0,0,0,0,0,0,0,1976-77,PHI,0,0,[],0,,2
