age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
21,,0,0,2,2,WHA,5,0,1977-78,0,0,0,,0,14,,BRB,2
22,SC,14.3,3,2,2,NHL,12,0,1978-79,0,21,3,,0,2,,MTL,5
23,,10.5,1,6,-2,NHL,10,0,1979-80,0,19,2,,1,0,,MTL,8
24,,0.0,0,0,-3,NHL,3,0,1980-81,0,3,0,,0,2,,MTL,0
25,,30.0,1,2,1,NHL,5,1,1981-82,1,10,3,,1,0,,MTL,5
26,,0.0,0,0,-2,NHL,3,0,1982-83,0,5,0,,0,0,,MTL,0
27,,15.0,0,2,-4,NHL,12,0,1983-84,0,20,3,,3,0,,MNS,5
28,SC,25.0,4,5,8,NHL,18,0,1984-85,0,20,5,,1,7,,EDM,10
29,,7.1,1,4,6,NHL,10,0,1985-86,0,14,1,,0,0,,EDM,5
31,,0.0,0,3,-3,NHL,6,0,1987-88,0,10,0,,0,0,,BUF,3
32,,50.0,1,0,0,NHL,3,0,1988-89,0,2,1,,0,0,,BUF,1
