even_strength_goals,assists,team,goals,pim,age,game_winning_goals,total_ice_time,league,shorthanded_goals,shots,average_ice_time,year,games_played,shotsPercentage,win,power_play_goals,points,plus_minus
0,1,TBL,0,4,21,0,,NHL,0,10,,1995-96,5,0.0,,0,1,-1
0,6,EDM,0,12,23,0,,NHL,0,19,,1997-98,12,0.0,,0,6,-4
0,0,EDM,0,2,24,0,,NHL,0,1,49,1998-99,3,0.0,,0,0,1
0,1,EDM,0,4,25,0,,NHL,0,10,124,1999-00,5,0.0,,0,1,-4
1,6,NYI,1,6,27,0,,NHL,0,21,204,2001-02,7,4.8,,0,7,-6
0,2,NYI,0,2,28,0,,NHL,0,9,147,2002-03,5,0.0,,0,2,-2
0,1,NYI,0,2,29,0,,NHL,0,10,128,2003-04,5,0.0,,0,1,0
0,2,CGY,0,2,31,0,,NHL,0,10,138,2005-06,7,0.0,,0,2,-7
0,1,CGY,0,8,32,0,,NHL,0,9,161,2006-07,6,0.0,,0,1,-3
1,2,MTL,1,8,33,0,34,NHL,0,15,275,2007-08,12,6.7,,0,3,-3
0,0,MTL,0,2,34,0,16,NHL,0,10,101,2008-09,4,0.0,,0,0,-5
0,9,MTL,0,15,35,0,51,NHL,0,21,383,2009-10,19,0.0,,0,9,-1
0,3,MTL,0,6,36,0,19,NHL,0,4,163,2010-11,7,0.0,,0,3,-1
1,3,WSH,1,12,37,0,37,NHL,0,18,312,2011-12,14,5.6,,0,4,8
0,1,NYR,0,2,38,0,1,NHL,0,0,15,2012-13,2,0,,0,1,0
