shotsPercentage,faceoff_loses,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,giveaways,total_shots,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,takeaways,faceoff_percentage,age,game_winning_goals,league,shorthanded_goals,blocks,average_ice_time,hits,games_played,faceoff_wins,points,awards,power_play_goals
5.3,0,1992-93,71,8,,0,0,0,113,7,5,-21,15,TBL,6,0,0,18,1,NHL,0,0,,0,67,0,21,[],1
1.9,0,1993-94,135,13,,0,0,0,158,5,3,-14,18,TBL,3,0,0,19,0,NHL,0,0,,0,64,0,21,[],0
9.0,0,1994-95,86,8,,1,0,0,134,2,4,-18,11,TBL,12,0,0,20,2,NHL,1,0,,0,48,0,23,[],7
5.7,0,1995-96,103,18,,1,0,0,281,30,4,-24,49,TBL,16,0,0,21,2,NHL,0,0,,0,82,0,65,"[{'link': '/awards/voting-1996.html#AS', 'name': 'AS-7'}, {'link': '/awards/voting-1996.html#norris', 'name': 'Norris-7'}]",12
5.0,0,1996-97,57,11,,1,0,0,238,16,6,-29,28,TBL,12,0,0,22,0,NHL,0,0,,0,79,0,40,[],6
4.5,0,1997-98,70,9,,0,0,0,198,23,3,-15,32,TOT,9,0,0,23,3,NHL,1,0,,0,78,0,41,[],5
3.5,0,1997-98,22,2,,0,0,0,86,10,2,-18,12,TBL,3,0,0,23,0,NHL,0,0,,0,37,0,15,[],1
5.4,0,1997-98,48,7,,0,0,0,112,13,1,3,20,EDM,6,0,0,23,3,NHL,1,0,,0,41,0,26,[],4
4.7,0,1998-99,70,10,1786,0,0,0,172,14,5,9,24,EDM,8,0,0,24,0,NHL,0,0,23:49,0,75,0,32,[],3
4.4,0,1999-00,68,16,2023,0,0,0,180,21,3,1,37,EDM,8,0,0,25,0,NHL,0,0,25:18,0,80,0,45,[],5
6.9,0,2000-01,92,15,1916,2,0,0,232,13,10,-20,30,NYI,16,0,0,26,4,NHL,1,0,25:12,0,76,0,46,[],5
6.5,0,2001-02,78,11,1787,3,0,0,169,12,6,7,26,NYI,11,0,0,27,1,NHL,1,0,25:32,0,70,0,37,[],4
6.0,0,2002-03,87,11,1940,3,0,0,151,18,6,21,32,NYI,9,0,0,28,2,NHL,0,0,26:34,0,73,0,41,"[{'link': '/awards/voting-2003.html#AS', 'name': 'AS-18'}]",3
3.8,0,2003-04,68,11,1991,2,0,0,182,9,5,2,22,NYI,7,0,0,29,2,NHL,0,0,24:35,0,81,0,29,[],2
7.9,0,2005-06,56,4,1114,0,0,0,89,15,5,8,19,CGY,7,0,0,31,0,NHL,1,0,21:51,0,51,0,26,[],1
5.6,0,2006-07,88,13,1865,1,0,0,125,17,6,22,31,CGY,7,0,0,32,1,NHL,0,0,24:52,0,75,0,38,[],1
3.9,0,2007-08,38,13,1781,0,70,258,129,8,2,7,21,MTL,5,36,0,33,3,NHL,0,187,23:08,138,77,0,26,[],3
4.2,0,2008-09,62,21,1775,3,78,264,143,3,6,4,27,MTL,6,41,0,34,0,NHL,0,195,21:55,104,81,0,33,[],0
6.0,0,2009-10,56,12,1758,1,86,225,100,7,4,-2,20,MTL,6,28,0,35,1,NHL,0,157,23:26,59,75,0,26,[],2
3.9,0,2010-11,81,16,1760,0,53,276,129,13,3,6,29,MTL,5,31,0,36,0,NHL,0,192,22:17,66,79,0,34,[],2
3.4,0,2011-12,34,11,1307,0,43,131,58,0,2,11,11,WSH,2,26,0,37,1,NHL,0,149,19:13,69,68,0,13,[],0
0.0,0,2012-13,8,1,184,0,3,21,7,0,0,-4,1,TOT,0,1,0,38,0,NHL,0,14,11:29,8,16,0,1,[],0
0.0,0,2012-13,2,1,62,0,1,9,2,0,0,-1,1,WSH,0,0,0,38,0,NHL,0,4,15:36,2,4,0,1,[],0
0.0,0,2012-13,6,0,121,0,2,12,5,0,0,-3,0,NYR,0,1,0,38,0,NHL,0,10,10:06,6,12,0,0,[],0
