shotsPercentage,faceoff_loses,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,giveaways,total_shots,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,takeaways,faceoff_percentage,age,game_winning_goals,league,shorthanded_goals,blocks,average_ice_time,hits,games_played,faceoff_wins,points,awards,power_play_goals
12.1,0,1990-91,113,19,,0,0,0,173,3,13,-3,22,HAR,21,0,0,20,3,NHL,0,0,,0,78,0,43,[],8
10.1,0,1991-92,44,23,,0,0,0,207,1,20,4,24,HAR,21,0,0,21,2,NHL,0,0,,0,76,0,45,[],1
11.1,0,1992-93,76,12,,0,0,0,180,7,13,-6,19,NJD,20,0,0,22,4,NHL,0,0,,0,61,0,39,[],7
10.0,0,1993-94,72,19,,0,0,0,130,1,11,28,20,NJD,13,0,0,23,3,NHL,0,0,,0,70,0,33,[],2
11.9,0,1994-95,18,9,,0,0,0,84,1,10,9,10,NJD,10,0,0,24,2,NHL,0,0,,0,48,0,20,[],0
8.3,0,1995-96,58,14,,0,0,0,157,3,12,9,17,NJD,13,0,0,25,1,NHL,0,0,,0,63,0,30,[],1
12.0,0,1996-97,54,31,,0,0,0,192,8,18,24,39,NJD,23,0,0,26,6,NHL,0,0,,0,0,0,62,[],5
12.2,0,1997-98,100,18,,0,0,0,238,18,21,23,36,NJD,29,0,0,27,8,NHL,0,0,,0,82,0,65,"[{'link': '/awards/voting-1998.html#AS', 'name': 'AS-6'}, {'link': '/awards/voting-1998.html#hart', 'name': 'Hart-20'}, {'link': '/awards/voting-1998.html#selke', 'name': 'Selke-5'}]",8
10.7,0,1998-99,119,28,1370,0,0,0,253,9,22,16,37,NJD,27,0,0,28,8,NHL,0,0,17:34,0,78,0,64,"[{'link': '/awards/voting-1999.html#selke', 'name': 'Selke-14'}]",5
8.9,0,1999-00,106,17,1333,0,0,0,257,6,16,7,23,NJD,23,0,0,29,4,NHL,0,0,16:53,0,79,0,46,"[{'link': '/awards/voting-2000.html#selke', 'name': 'Selke-11'}]",7
7.3,0,2000-01,97,22,1266,0,0,0,206,13,12,19,35,NJD,15,0,0,30,3,NHL,0,0,15:49,0,80,0,50,"[{'link': '/awards/voting-2001.html#selke', 'name': 'Selke-9'}]",3
9.3,0,2001-02,97,19,1434,0,0,0,270,10,19,7,29,NJD,25,0,0,31,3,NHL,0,0,17:42,0,81,0,54,"[{'link': '/awards/voting-2002.html#selke', 'name': 'Selke-7'}]",6
7.5,0,2002-03,52,16,1159,0,0,0,213,3,13,-1,19,NYR,16,0,0,32,2,NHL,0,0,18:07,0,64,0,35,[],3
11.1,0,2003-04,96,24,1522,0,0,0,225,7,17,4,31,NYR,25,0,0,33,4,NHL,0,0,18:34,0,82,0,56,[],8
9.9,0,2005-06,79,5,1121,1,0,0,151,12,10,-6,18,ATL,15,0,0,35,0,NHL,0,0,17:31,0,64,0,33,[],5
5.8,0,2006-07,86,16,1307,0,0,0,190,2,8,-3,18,ATL,11,0,0,36,1,NHL,1,0,15:56,0,82,0,29,"[{'link': '/awards/voting-2007.html#selke', 'name': 'Selke-38'}]",2
10.7,619,2007-08,90,15,1310,1,30,239,140,3,12,-14,19,ATL,15,65,58.5,37,3,NHL,0,41,15:58,146,82,871,34,"[{'link': '/awards/voting-2008.html#selke', 'name': 'Selke-42'}]",3
5.1,206,2008-09,66,4,632,0,11,122,79,1,4,-2,5,NJD,4,14,59.3,38,1,NHL,0,6,10:11,135,62,300,9,[],0
