even_strength_goals,assists,team,goals,pim,age,game_winning_goals,total_ice_time,league,shorthanded_goals,shots,average_ice_time,year,games_played,shotsPercentage,win,power_play_goals,points,plus_minus
0,0,HAR,0,7,20,0,,NHL,0,15,,1990-91,6,0.0,,0,0,-3
0,1,HAR,0,6,21,0,,NHL,0,18,,1991-92,7,0.0,,0,1,-2
1,1,NJD,1,6,22,0,,NHL,0,10,,1992-93,5,10.0,,0,2,-1
0,3,NJD,0,6,23,0,,NHL,0,23,,1993-94,20,0.0,,0,3,0
2,4,NJD,4,22,24,1,,NHL,0,33,,1994-95,0,12.1,SC,2,8,7
1,3,NJD,2,4,26,0,,NHL,0,29,,1996-97,10,6.9,,1,5,1
0,0,NJD,0,8,27,0,,NHL,0,18,,1997-98,5,0.0,,0,0,-4
0,7,NJD,0,6,28,0,,NHL,0,21,128,1998-99,7,0.0,,0,7,-1
3,7,NJD,3,14,29,1,,NHL,0,73,402,1999-00,0,4.1,SC,0,10,-1
5,10,NJD,6,37,30,0,,NHL,0,66,402,2000-01,0,9.1,,1,16,1
3,1,NJD,4,2,31,0,,NHL,0,28,107,2001-02,6,14.3,,1,5,4
0,1,ATL,0,0,36,0,,NHL,0,12,62,2006-07,4,0.0,,0,1,0
0,1,NJD,0,2,38,0,4,NHL,0,3,16,2008-09,3,0.0,,0,1,0
