age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
20,,25.0,0,0,-4,NHL,4,0,1979-80,0,4,1,,1,0,,VAN,1
22,,18.2,2,3,1,NHL,10,0,1981-82,1,11,2,,0,4,,VAN,5
23,,14.3,1,3,2,NHL,4,0,1982-83,0,7,1,,0,0,,VAN,4
24,,0.0,0,1,0,NHL,4,0,1983-84,0,7,0,,0,7,,VAN,1
26,,0.0,0,0,-1,NHL,3,0,1985-86,0,5,0,,0,0,,VAN,0
