average_ice_time,points,game_winning_goals,shorthanded_goals,league,age,even_strength_assists,pim,plus_minus,shots,even_strength_goals,power_play_goals,shorthanded_assists,power_play_assists,year,team,goals,assists,awards,shotsPercentage,total_ice_time,games_played
,7,0,0,NHL,24,0,14,0,0,0,0,0,0,1932-33,MTL,5,2,[],0,,40
,1,0,0,NHL,26,0,0,0,0,0,0,0,0,1934-35,BOS,1,0,[],0,,10
,2,0,0,NHL,27,0,0,0,0,0,0,0,0,1935-36,DET,0,2,[],0,,4
