pim,team,assists,plus_minus,points,league,games_played,year,age,goals
4,Sudbury Frood Tigers,0,0,0,NOHA,3,1934-35,20,0
0,Hershey B\'ars,2,0,3,EAHL,5,1935-36,21,1
2,Hershey B\'ars,1,0,2,EAHL,4,1936-37,22,1
4,Hershey Bears,2,0,2,IAHL,4,1938-39,24,0
0,Hershey Bears,2,0,3,IAHL,6,1939-40,25,1
0,Hershey Bears,3,0,7,AHL,10,1940-41,26,4
2,Hershey Bears,1,0,2,AHL,5,1941-42,27,1
0,Hershey Bears,0,0,2,AHL,6,1942-43,28,2
4,Hershey Bears,1,0,1,AHL,3,1945-46,31,0
0,Springfield Indians,0,0,1,AHL,2,1946-47,32,1
0,Johnstown Jets,1,0,1,EAHL,6,1950-51,36,0
