shotsPercentage,faceoff_loses,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,giveaways,total_shots,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,takeaways,faceoff_percentage,age,game_winning_goals,league,shorthanded_goals,blocks,average_ice_time,hits,games_played,faceoff_wins,points,awards,power_play_goals
0.0,18,2007-08,2,0,49,0,0,10,7,0,0,-2,0,DET,0,2,21.7,21,0,NHL,0,0,7:00,3,7,5,0,[],0
0.0,58,2008-09,4,1,199,0,1,42,29,0,0,-7,1,DET,0,10,56.1,22,0,NHL,0,4,12:26,37,16,74,1,[],0
6.7,428,2009-10,18,13,1087,0,30,279,165,0,8,-2,13,DET,11,38,50.5,23,3,NHL,3,48,14:30,185,75,437,24,[],0
6.8,445,2010-11,16,19,1091,1,20,289,177,0,10,9,20,DET,12,46,52.6,24,2,NHL,2,30,13:18,128,82,493,32,"[{'link': '/awards/voting-2011.html#byng', 'name': 'Byng-48'}, {'link': '/awards/voting-2011.html#selke', 'name': 'Selke-24'}]",0
7.3,374,2011-12,12,17,987,0,18,248,124,0,9,5,17,DET,9,27,51.9,25,2,NHL,0,27,14:31,97,68,403,26,[],0
0.0,8,2012-13,2,0,12,0,1,4,1,0,0,0,0,DET,0,1,42.9,26,0,NHL,0,0,12:27,4,1,6,0,[],0
14.5,279,2013-14,14,8,637,0,13,151,83,0,9,2,8,DET,12,17,49.1,27,3,NHL,2,16,15:10,73,42,269,20,[],1
9.4,192,2014-15,12,14,1188,0,22,270,160,4,10,7,18,DET,15,33,53.7,28,1,NHL,2,25,15:50,132,75,223,33,"[{'link': '/awards/voting-2015.html#byng', 'name': 'Byng-41'}]",3
7.9,38,2015-16,32,13,1160,0,16,291,165,0,13,-2,13,DET,13,22,50.6,29,3,NHL,0,26,15:04,115,77,39,26,[],0
8.2,204,2016-17,20,6,768,1,20,166,98,2,6,-6,9,DET,8,17,51.4,30,1,NHL,0,18,15:22,71,50,216,17,[],2
