shotsPercentage,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,age,game_winning_goals,league,shorthanded_goals,average_ice_time,games_played,points,awards,power_play_goals
0,1972-73,34,0,,0,0,0,0,0,2,PHB,0,20,0,WHA,0,,28,2,[],0
0,1973-74,151,0,,0,0,0,0,0,13,VNB,0,21,0,WHA,0,,69,13,[],0
0.0,1974-75,133,5,,1,55,0,0,5,6,LAK,0,22,0,NHL,0,,68,6,[],0
0.0,1975-76,181,10,,0,61,0,0,4,10,LAK,0,23,0,NHL,0,,50,10,[],0
5.2,1976-77,220,9,,0,115,2,5,7,11,LAK,6,24,3,NHL,0,,70,17,[],1
0.0,1977-78,71,10,,0,60,0,0,11,10,LAK,0,25,0,NHL,0,,44,10,[],0
3.4,1978-79,235,15,,0,117,0,4,36,15,TOR,4,26,0,NHL,0,,79,19,[],0
1.3,1979-80,101,11,,0,78,0,1,1,11,TOT,1,27,0,NHL,0,,69,12,[],0
4.8,1979-80,28,6,,0,21,0,1,1,6,TOR,1,27,0,NHL,0,,31,7,[],0
0.0,1979-80,73,5,,0,57,0,0,0,5,CBH,0,27,0,NHL,0,,38,5,[],0
3.4,1980-81,124,9,,0,58,0,2,12,9,CBH,2,28,0,NHL,0,,59,11,[],0
6.9,1981-82,246,17,,0,72,1,4,4,18,CBH,5,29,0,NHL,1,,66,23,[],0
4.8,1982-83,102,4,,0,21,0,1,-20,4,NJD,1,30,0,NHL,0,,32,5,[],0
0.0,1983-84,137,3,,0,16,0,0,5,3,TOR,0,31,0,NHL,0,,47,3,[],0
