age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
24,,12.5,4,7,7,NHL,16,0,1986-87,1,32,4,,0,6,,DET,11
25,,24.2,4,12,-2,NHL,16,0,1987-88,1,33,8,,4,6,,DET,20
26,,0.0,0,8,-1,NHL,6,0,1988-89,0,11,0,,0,2,,DET,8
27,,7.4,1,12,-10,NHL,12,0,1989-90,0,27,2,,1,4,,STL,14
28,,17.9,5,13,7,NHL,13,0,1990-91,1,39,7,,2,10,,STL,20
29,,14.3,2,14,-6,NHL,15,0,1991-92,2,35,5,,3,4,,BOS,19
30,,0.0,0,9,0,NHL,4,0,1992-93,0,11,0,,0,4,,BOS,9
31,,7.1,1,9,-3,NHL,13,0,1993-94,0,42,3,,2,8,,BOS,12
32,,14.3,0,0,-6,NHL,5,0,1994-95,0,7,1,,1,2,,BOS,1
33,,15.4,1,5,-3,NHL,5,1,1995-96,0,13,2,,0,2,,BOS,7
35,,19.4,4,11,8,NHL,21,1,1997-98,1,31,6,,1,8,,WSH,17
37,,0.0,0,3,0,NHL,5,0,1999-00,0,3,0,25:06,0,4,125,WSH,3
38,,0.0,0,0,-4,NHL,6,0,2000-01,0,6,0,16:21,0,0,98,WSH,0
39,,0.0,0,2,-1,NHL,5,0,2001-02,0,4,0,21:53,0,0,109,PHI,2
40,,22.2,1,9,2,NHL,21,0,2002-03,1,18,4,19:15,3,6,404,MDA,13
