game_winning_goals,plus_minus,shots,shorthanded_assists,games_played,assists,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,average_ice_time,league,shotsPercentage,power_play_assists,age,pim,awards,points,even_strength_goals,total_ice_time,team
0,0,5,0,5,1,1986-87,1,0,1,0,,NHL,20.0,0,23,0,[],2,1,,NYR
0,-6,99,0,57,10,1987-88,8,0,8,0,,NHL,8.1,2,24,52,[],18,8,,TOT
0,-5,30,0,17,2,1987-88,2,0,2,0,,NHL,6.7,0,24,8,[],4,2,,NYR
0,-1,69,0,40,8,1987-88,6,0,6,0,,NHL,8.7,2,24,44,[],14,6,,BUF
0,-1,25,0,22,6,1988-89,4,0,4,0,,NHL,16.0,2,25,10,[],10,4,,BUF
0,-4,20,0,12,2,1989-90,2,0,1,0,,NHL,5.0,0,26,8,[],3,1,,BUF
2,3,76,0,53,5,1990-91,5,0,7,0,,NHL,9.2,0,27,41,[],12,7,,LAK
4,5,197,1,80,16,1991-92,14,1,29,0,,NHL,14.7,1,28,20,[],45,28,,LAK
2,17,244,0,84,40,1992-93,29,1,29,8,,NHL,11.9,11,29,45,[],69,20,,LAK
3,2,177,1,81,21,1993-94,15,2,21,4,,NHL,11.9,5,30,34,[],42,15,,LAK
3,-4,116,0,44,15,1994-95,11,0,12,3,,NHL,10.3,4,31,33,[],27,9,,TOT
0,-7,22,0,9,1,1994-95,0,0,1,0,,NHL,4.5,1,31,4,[],2,1,,LAK
3,3,94,0,35,14,1994-95,11,0,11,3,,NHL,11.7,3,31,29,[],25,8,,DAL
0,-2,21,0,24,5,1995-96,4,0,2,0,,NHL,9.5,1,32,10,[],7,2,,DAL
0,0,5,0,3,0,1996-97,0,0,0,0,,NHL,0.0,0,33,2,[],0,0,,NYI
