giveaways,league,games_played,game_winning_goals,age,faceoff_loses,total_shots,shots,points,hits,power_play_assists,total_ice_time,team,takeaways,faceoff_percentage,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,faceoff_wins,shorthanded_goals,year,blocks,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
0,NHL,81,2,22,0,0,107,55,0,23,1099,DAL,0,0,"[{'link': '/awards/voting-2006.html#AS', 'name': 'AS-9'}, {'link': '/awards/voting-2006.html#calder', 'name': 'Calder-9'}]",15.9,9,38,2,17,0,0,2005-06,0,13:34,8,30,0,15
0,NHL,82,1,23,0,0,121,48,0,15,1140,DAL,0,0,"[{'link': '/awards/voting-2007.html#byng', 'name': 'Byng-27'}]",11.6,8,34,8,14,0,0,2006-07,0,13:54,6,18,0,19
34,NHL,72,2,24,163,223,131,42,16,8,1041,TOT,23,52.2,[],12.2,10,26,-14,16,178,0,2007-08,21,14:27,6,18,0,18
26,NHL,52,2,24,138,157,93,28,10,3,662,DAL,16,53.2,[],15.1,9,14,2,14,157,0,2007-08,15,12:44,5,14,0,11
8,NHL,20,0,24,25,66,38,14,6,5,379,TBL,7,45.7,[],5.3,1,12,-16,2,21,0,2007-08,6,18:57,1,4,0,7
22,NHL,71,1,25,312,165,101,27,31,7,1087,TOT,23,53.6,[],6.9,5,20,-10,7,361,0,2008-09,43,15:19,2,28,0,13
18,NHL,46,0,25,244,110,64,16,17,4,719,TBL,11,52.2,[],9.4,4,10,-8,6,266,0,2008-09,32,15:38,2,16,0,6
4,NHL,25,1,25,68,55,37,11,14,3,368,CAR,12,58.3,[],2.7,1,10,-2,1,95,0,2008-09,11,14:43,0,12,0,7
20,NHL,81,6,26,129,285,160,65,55,14,1362,CAR,40,51.3,[],18.8,20,35,3,30,136,0,2009-10,24,16:49,10,36,0,21
38,NHL,70,1,27,148,221,136,52,43,10,1206,CAR,37,52.9,[],14.0,11,33,3,19,166,0,2010-11,36,17:13,8,24,0,23
40,NHL,79,3,28,373,241,118,46,41,15,1396,CAR,37,55.2,[],10.2,7,34,-2,12,459,2,2011-12,48,17:40,3,54,0,19
14,NHL,43,3,29,182,139,74,22,17,4,664,TOT,26,57.9,[],17.6,10,9,-5,13,250,0,2012-13,22,15:26,3,24,0,5
12,NHL,33,3,29,115,121,61,11,14,1,514,CAR,24,59.4,[],9.8,4,5,-8,6,168,0,2012-13,18,15:35,2,18,0,4
2,NHL,10,0,29,67,18,13,11,3,3,149,PIT,2,55.0,[],53.8,6,4,3,7,82,0,2012-13,4,14:55,1,6,0,1
47,NHL,81,4,30,139,297,172,57,34,15,1272,PIT,22,53.5,[],12.2,15,36,12,21,160,0,2013-14,31,15:42,6,18,0,21
26,NHL,81,0,31,124,217,134,44,52,7,1356,FLA,29,50.4,[],6.0,6,36,-2,8,126,0,2014-15,50,16:44,2,34,0,29
47,NHL,81,1,32,127,248,153,60,43,7,1482,FLA,31,51.5,"[{'link': '/awards/voting-2016.html#selke', 'name': 'Selke-40'}]",11.8,12,42,25,18,135,1,2015-16,50,18:17,5,42,1,34
59,NHL,69,2,33,69,199,118,28,28,6,1201,FLA,27,52.1,[],9.3,6,17,-15,11,75,1,2016-17,33,17:25,4,39,0,11
