age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
21,,0.0,0,0,-1,NHL,3,0,1984-85,0,4,0,,0,2,,NYR,0
22,,17.6,2,4,-1,NHL,16,1,1985-86,0,17,3,,0,4,,NYR,7
23,,16.7,2,2,2,NHL,7,0,1986-87,0,12,2,,0,0,,WSH,4
24,,30.8,3,4,6,NHL,14,1,1987-88,1,13,4,,0,10,,WSH,8
25,,7.1,1,0,-6,NHL,6,0,1988-89,1,14,1,,0,2,,WSH,1
26,,11.5,2,5,3,NHL,15,1,1989-90,0,26,3,,0,23,,WSH,8
27,,14.8,3,2,0,NHL,11,1,1990-91,0,27,4,,0,6,,WSH,6
28,,11.1,1,2,2,NHL,7,0,1991-92,0,9,1,,0,4,,WSH,3
29,,0.0,0,3,-7,NHL,6,0,1992-93,0,11,0,,0,2,,WSH,3
30,,18.2,0,7,3,NHL,11,1,1993-94,0,11,2,,1,0,,WSH,9
31,,0.0,0,3,-2,NHL,7,0,1994-95,0,5,0,,0,4,,WSH,3
32,,0.0,0,1,-1,NHL,6,0,1995-96,0,11,0,,0,4,,WSH,1
34,,0.0,0,1,2,NHL,10,0,1997-98,0,8,0,,0,4,,WSH,1
