assists,year,games_played,points,goals,team,age,pim,plus_minus,league
0,1978-79,2,0,0,Timra IK,15,0,0,Sweden-2
1,1979-80,14,5,4,Timra IK,16,0,0,Sweden-2
0,1979-80,5,1,1,Sweden,16,0,0,EJC-A
14,1980-81,36,29,15,Timra IK,17,24,0,Sweden-2
5,1980-81,5,9,4,Sweden,17,4,0,EJC-A
7,1981-82,36,23,16,Timra IK,18,14,0,Sweden
1,1981-82,7,6,5,Sweden,18,4,0,WJC-A
8,1982-83,32,18,10,Farjestads BK Karlstad,19,2,0,Sweden
4,1982-83,7,7,3,Sweden,19,0,0,WJC-A
9,1983-84,36,28,19,Farjestads BK Karlstad,20,16,0,Sweden
25,1984-85,35,46,21,Farjestads BK Karlstad,21,10,0,Sweden
20,1988-89,37,43,23,Farjestads BK Karlstad,25,24,0,Sweden
12,1989-90,30,38,26,Farjestads BK Karlstad,26,12,0,Sweden
8,1990-91,31,17,9,Farjestads BK Karlstad,27,14,0,Sweden
10,1991-92,25,16,6,Farjestads BK Karlstad,28,10,0,Sweden
8,1992-93,36,12,4,Farjestads BK Karlstad,29,4,0,Sweden
1,1993-94,16,1,0,Farjestads BK Karlstad,30,0,0,Sweden
5,1993-94,4,5,0,Grums IK,30,0,0,Sweden-2
