goalie_point_share,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,awards,saves
3.1,0,NHL,50,BOS,2913,27,27,0,0,193,0,0,10,1,11,0,0,0,0,0,1962-63,0,3.98,10,"[{'link': '/awards/voting-1963.html#calder', 'name': 'Calder-4'}]",0
9.6,0,NHL,0,BOS,0,28,0,0,0,211,0,0,0,6,18,0,0,0,0,0,1963-64,0,3.01,0,"[{'link': '/awards/voting-1964.html#hart', 'name': 'Hart-10'}]",0
4.8,0,NHL,47,BOS,2820,29,0,0,0,163,0,0,4,3,11,0,0,0,0,0,1964-65,0,3.47,4,[],0
2.9,0,NHL,33,BOS,1744,30,19,0,0,108,0,0,2,1,10,0,0,0,0,0,1965-66,0,3.72,2,[],0
2.9,0,NHL,34,BOS,1880,31,21,0,1,116,0,0,2,0,8,1,0,0,0,0,1966-67,0,3.70,0,[],0
3.8,0,NHL,28,BOS,1524,32,8,0,0,73,0,0,5,0,11,0,0,0,0,0,1967-68,0,2.87,0,[],0
3.6,0,NHL,24,BOS,1440,33,6,0,1,74,0,0,4,2,14,1,0,0,0,0,1968-69,0,3.08,0,[],0
5.6,0,NHL,37,BOS,2176,34,9,0,2,108,0,0,11,3,16,2,0,0,0,0,1969-70,0,2.98,2,[],0
8.2,0,NHL,38,BOS,2280,35,6,0,1,96,0,0,2,4,30,1,0,0,0,0,1970-71,0,2.53,6,[],0
7.2,0,NHL,38,BOS,2260,36,8,0,4,102,0,0,3,2,27,4,0,0,0,0,1971-72,0,2.71,0,[],0
6.7,0,NHL,45,BOS,2510,37,17,0,1,137,0,0,1,5,24,1,0,0,0,0,1972-73,0,3.27,2,[],0
4.3,0,NHL,26,TOR,1516,38,9,0,0,78,0,0,4,1,12,0,0,0,0,0,1973-74,0,3.09,0,[],0
5.6,0,NHL,30,STL,1800,39,13,0,0,93,0,0,5,2,12,0,0,0,0,0,1974-75,0,3.10,0,[],0
5.1,0,NHL,38,STL,2152,40,17,0,0,130,0,0,9,1,11,0,0,0,0,0,1975-76,0,3.62,0,[],0
6.4,0,NHL,38,STL,2111,41,16,0,0,108,0,0,5,1,13,0,0,0,0,0,1976-77,0,3.07,0,[],0
1.2,0,NHL,16,TOT,890,42,9,0,0,62,0,0,1,0,6,0,0,0,0,0,1977-78,0,4.18,0,[],0
0.9,0,NHL,12,STL,650,42,6,0,0,45,0,0,1,0,5,0,0,0,0,0,1977-78,0,4.15,0,[],0
0.3,0,NHL,4,CBH,240,42,3,0,0,17,0,0,0,0,1,0,0,0,0,0,1977-78,0,4.25,0,[],0
