even_strength_goals,assists,team,goals,pim,age,game_winning_goals,total_ice_time,league,shorthanded_goals,shots,average_ice_time,year,games_played,shotsPercentage,win,power_play_goals,points,plus_minus
2,5,MTL,2,20,21,1,,NHL,0,43,,1970-71,0,4.7,SC,0,7,2
0,0,MTL,0,2,22,0,,NHL,0,8,,1971-72,6,0.0,,0,0,-2
3,6,MTL,3,0,23,0,,NHL,0,18,,1972-73,0,16.7,SC,0,9,3
0,6,QBN,10,2,25,2,,WHA,0,0,,1974-75,15,0,,0,16,0
0,0,QBN,2,8,26,0,,WHA,0,0,,1975-76,5,0,,0,2,-2
0,1,MTL,0,4,27,0,,NHL,0,10,,1976-77,6,0.0,SC,0,1,-1
3,8,MTL,3,14,28,0,,NHL,0,26,,1977-78,0,11.5,SC,0,11,7
1,5,MTL,1,2,29,0,,NHL,0,9,,1978-79,7,11.1,SC,0,6,3
3,5,MTL,4,12,30,0,,NHL,0,20,,1979-80,10,20.0,,1,9,4
1,0,MTL,1,6,31,0,,NHL,0,4,,1980-81,3,25.0,,0,1,-1
0,4,MTL,0,6,32,0,,NHL,0,3,,1981-82,5,0.0,,0,4,3
0,0,MTL,0,0,33,0,,NHL,0,0,,1982-83,1,0,,0,0,-1
