shotsPercentage,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,age,game_winning_goals,league,shorthanded_goals,average_ice_time,games_played,points,awards,power_play_goals
0.0,1969-70,0,1,,0,1,0,0,1,1,MTL,0,20,0,NHL,0,,9,1,[],0
11.5,1970-71,28,7,,0,87,2,9,7,9,MTL,10,21,1,NHL,0,,66,19,[],1
7.6,1971-72,21,16,,0,145,1,10,9,17,MTL,11,22,1,NHL,0,,77,28,[],1
11.1,1972-73,36,30,,0,117,5,10,24,35,MTL,13,23,1,NHL,0,,72,48,[],3
0,1973-74,17,0,,0,0,0,21,0,35,QBN,27,24,4,WHA,0,,69,62,[],6
14.5,1974-75,37,0,,0,275,0,26,20,52,QBN,40,25,0,WHA,1,,64,92,[],13
19.9,1975-76,61,0,,0,256,0,32,20,52,QBN,51,26,9,WHA,0,,81,103,[],19
16.8,1976-77,24,22,,1,131,7,20,39,30,MTL,22,27,3,NHL,0,,65,52,[],2
21.0,1977-78,50,17,,2,143,9,27,39,28,MTL,30,28,5,NHL,0,,76,58,[],3
16.2,1978-79,43,28,,0,105,6,11,16,34,MTL,17,29,4,NHL,0,,66,51,[],6
15.7,1979-80,68,19,,0,115,8,16,3,27,MTL,18,30,3,NHL,0,,60,45,[],2
17.1,1980-81,83,25,,0,158,6,20,20,31,MTL,27,31,3,NHL,1,,77,58,[],6
13.6,1981-82,34,25,,1,81,6,8,18,32,MTL,11,32,1,NHL,1,,51,43,[],2
11.1,1982-83,8,3,,0,18,0,1,4,3,MTL,2,33,0,NHL,0,,16,5,[],1
