bad_start,shutouts,points,goals_allowed_average,goals_saved_aboved_average,shots_againist,league,games_started,age,good_start_precentages,saves,pim,goals,good_starts,goals_allowed_precentage,goals_allowed,saves_percentage,year,team,loses,won,assists,ties,wins,games_played,minutes
0,0,0,3.38,0,0,NHL,0,26,0,0,0,0,0,0,27,0,1969-70,CBH,0,,0,0,4,8,480
0,0,0,0,0,0,NHL,0,27,0,0,0,0,0,0,42,0,1970-71,CBH,7,,0,0,11,18,1151
0,0,0,3.20,0,0,NHL,0,28,0,0,0,0,0,0,16,0,1971-72,CBH,3,,0,0,2,5,300
0,1,0,3.08,0,0,NHL,0,29,0,0,0,0,0,0,46,0,1972-73,CBH,5,,0,0,10,15,895
0,0,0,2.88,0,0,NHL,0,30,0,0,0,0,0,0,28,0,1973-74,CBH,4,,0,0,6,10,584
0,0,0,4.32,0,0,NHL,0,31,0,0,0,0,0,0,34,0,1974-75,CBH,0,,0,0,3,8,472
0,0,0,3.25,0,0,NHL,0,32,0,0,0,0,0,0,13,0,1975-76,CBH,4,,0,0,0,4,240
0,0,0,3.00,0,0,NHL,0,33,0,0,0,0,0,0,6,0,1976-77,CBH,2,,0,0,0,2,120
0,0,0,4.52,0,0,NHL,0,34,0,0,0,0,0,0,19,0,1977-78,CBH,4,,0,0,0,4,252
0,0,0,3.46,0,0,NHL,0,35,0,0,0,0,0,0,14,0,1978-79,CBH,4,,0,0,0,4,243
0,0,0,2.25,0,0,NHL,0,36,0,0,0,0,0,0,14,0,1979-80,CBH,3,,0,0,3,6,373
0,0,0,4.19,0,0,NHL,0,37,0,0,0,0,0,0,15,0,1980-81,CBH,3,,0,0,0,3,215
0,0,0,2.52,0,0,NHL,0,38,0,0,0,0,0,0,16,0,1981-82,CBH,3,,0,0,3,7,381
0,0,0,3.47,0,0,NHL,0,39,0,0,0,0,0,0,18,0,1982-83,CBH,2,,0,0,3,5,311
